Sample_ID,Florida_County_Name,Latitude,Longitude
MRT-1341-038,Martin_County,26.97,80.73
CIT-0960-028,Citrus_county,28.94,82.38
CLR-1911-093,Collier_County,25.94,81.47
FLG-0387-004,Flagler_County,29.58,81.21
FLG-0388-005,Flagler_County,29.59,81.21
FLG-0391-008,Flagler_County,29.57,81.20
FLG-0392-009,Flagler_County,29.56,81.21
FLG-1395-012,Flagler_County,29.67,81.22
FLG-1548-015,Flagler_County,29.62,81.20
FLG-1552-019,Flagler_County,29.57,81.23
FLG-1554-021,Flagler_County,29.65,81.24
FLG-1555-022,Flagler_County,29.66,81.24
IDR-0073-005,Indian_River_County,27.99,80.67
IDR-0074-006,Indian_River_County,28.01,80.65
IDR-0090-011,Indian_River_County,27.59,80.41
IDR-1412-017,Indian_River_County,27.67,80.36
IDR-1414-019,Indian_River_County,27.80,80.42
IDR-1720-021,Indian_River_County,27.80,80.43
MRT-0142-003,Martin_County,27.10,80.17
CLR-1916-098,Collier_County,25.89,81.27
MRT-0148-008,Martin_County,27.16,80.18
MRT-0154-011,Martin_County,27.21,80.37
MRT-0175-012,Martin_County,27.20,80.17
MRT-0185-016,Martin_County,27.20,80.20
MRT-0746-022,Martin_County,27.20,80.14
MRT-1308-028,Martin_County,27.03,80.78
MRT-1309-029,Martin_County,27.00,80.79
MRT-1310-030,Martin_County,26.97,80.79
MRT-1327-034,Martin_County,26.97,80.76
CLR-1919-101,Collier_County,25.86,81.10
MRT-1361-044,Martin_County,27.09,80.67
MRT-1362-045,Martin_County,27.07,80.66
MRT-1365-048,Martin_County,26.97,80.66
LEV-0108-001,Levy_County,29.26,83.17
LEV-0289-002,Levy_County,29.03,82.67
LEV-0290-003,Levy_County,29.03,82.57
LEV-0292-005,Levy_County,29.00,82.76
LEV-1198-007,Levy_County,29.14,83.04
CLR-1903-085,Collier_County,25.97,81.35
CLR-1946-103,Collier_County,26.02,81.61
LEV-1422-010,Levy_County,29.40,83.03
VOL-0942-003,Volusia_County,28.86,81.31
VOL-1079-006,Volusia_County,29.27,81.09
VOL-1080-007,Volusia_County,29.30,81.09
CLR-1904-086,Collier_County,26.16,81.27
BAK-1438-002,Baker_County,30.80,82.42
BAK-2159-003,Baker_County,30.34,82.20
BAK-2168-005,Baker_County,30.56,82.26
BAK-2181-010,Baker_County,30.57,82.23
CIT-0266-004,Citrus_county,28.88,82.60
CIT-0269-007,Citrus_county,28.89,82.61
CIT-0272-010,Citrus_county,28.91,82.69
CIT-0278-012,Citrus_county,29.01,82.39
CIT-0281-014,Citrus_county,28.90,82.62
CIT-0284-017,Citrus_county,28.92,82.63
CIT-0285-018,Citrus_county,28.91,82.63
CIT-0288-021,Citrus_county,29.01,82.66
CIT-0356-023,Citrus_county,28.99,82.35
CIT-0963-031,Citrus_county,28.84,82.33
CLR-1908-090,Collier_County,25.97,81.51
CIT-1170-036,Citrus_county,28.81,82.30
DIX-0109-001,Dixie_County,29.35,83.23
DIX-0111-003,Dixie_County,29.40,83.22
DIX-0113-005,Dixie_County,29.46,83.34
DIX-0115-007,Dixie_County,29.55,83.39
DIX-1425-011,Dixie_County,29.59,82.94
FLG-0384-001,Flagler_County,29.60,81.26
CLR-1902-084,Collier_County,26.14,81.35
FLG-0386-003,Flagler_County,29.58,81.23
FLG-0389-006,Flagler_County,29.60,81.20
FLG-0390-007,Flagler_County,29.58,81.19
FLG-0393-010,Flagler_County,29.55,81.23
CLR-1912-094,Collier_County,25.93,81.44
FLG-1397-013,Flagler_County,29.66,81.23
FLG-1549-016,Flagler_County,29.62,81.20
FLG-1550-017,Flagler_County,29.56,81.18
FLG-1551-018,Flagler_County,29.58,81.21
FLG-1553-020,Flagler_County,29.64,81.27
CLR-1913-095,Collier_County,25.92,81.42
FLG-1556-023,Flagler_County,29.65,81.28
IDR-0069-001,Indian_River_County,27.63,80.50
IDR-0070-002,Indian_River_County,27.65,80.40
IDR-0071-003,Indian_River_County,27.65,80.39
IDR-0072-004,Indian_River_County,27.63,80.36
CLR-1914-096,Collier_County,25.91,81.37
IDR-0089-010,Indian_River_County,27.60,80.39
IDR-1407-012,Indian_River_County,27.80,80.48
IDR-1408-013,Indian_River_County,27.77,80.51
IDR-1409-014,Indian_River_County,27.77,80.47
IDR-1410-015,Indian_River_County,27.65,80.43
IDR-1411-016,Indian_River_County,27.63,80.35
IDR-1413-018,Indian_River_County,27.76,80.42
CLR-1915-097,Collier_County,25.91,81.35
IDR-1719-020,Indian_River_County,27.80,80.50
IDR-1721-022,Indian_River_County,27.82,80.51
MRT-0139-001,Martin_County,26.98,80.14
MRT-0141-002,Martin_County,27.07,80.12
MRT-0143-004,Martin_County,27.10,80.14
MRT-0146-006,Martin_County,27.15,80.20
MRT-0147-007,Martin_County,27.15,80.19
MRT-0149-009,Martin_County,27.15,80.17
MRT-0150-010,Martin_County,27.18,80.21
MRT-0176-013,Martin_County,26.98,80.13
MRT-0178-014,Martin_County,27.16,80.19
MRT-0179-015,Martin_County,27.16,80.26
CLR-1917-099,Collier_County,25.88,81.23
MRT-0186-017,Martin_County,27.20,80.26
MRT-0245-018,Martin_County,26.98,80.62
MRT-0246-019,Martin_County,27.11,80.29
MRT-0744-020,Martin_County,27.11,80.26
MRT-0745-021,Martin_County,27.19,80.27
MRT-0747-023,Martin_County,27.16,80.19
CLR-1918-100,Collier_County,25.87,81.13
MRT-0748-024,Martin_County,27.11,80.28
MRT-0749-025,Martin_County,27.02,80.44
MRT-1292-027,Martin_County,26.98,80.83
MRT-1324-031,Martin_County,27.06,80.75
MRT-1326-033,Martin_County,27.00,80.76
MRT-1340-037,Martin_County,27.01,80.73
MRT-1353-041,Martin_County,27.03,80.70
MRT-1363-046,Martin_County,27.04,80.66
MRT-1369-049,Martin_County,27.01,80.63
MRT-1370-050,Martin_County,26.97,80.63
CLR-1941-102,Collier_County,26.17,80.89
LEV-0291-004,Levy_County,29.03,82.71
LEV-1197-006,Levy_County,29.16,83.03
LEV-1199-008,Levy_County,29.15,83.04
LEV-1200-009,Levy_County,29.14,83.03
LEV-1424-011,Levy_County,29.52,82.97
LEV-1467-012,Levy_County,29.35,82.74
LEV-1690-013,Levy_County,29.49,82.98
LEV-1855-015,Levy_County,29.14,83.03
VOL-0730-002,Volusia_County,29.17,81.52
VOL-0946-004,Volusia_County,28.79,81.18
VOL-1078-005,Volusia_County,29.27,81.13
VOL-1081-008,Volusia_County,29.34,81.09
BAK-0083-001,Baker_County,30.21,82.43
BAK-2165-004,Baker_County,30.35,82.13
BAK-2170-006,Baker_County,30.43,82.23
BAK-2171-007,Baker_County,30.54,82.25
BAK-2174-008,Baker_County,30.55,82.17
BAK-2177-009,Baker_County,30.52,82.23
CIT-0243-001,Citrus_county,28.89,82.59
CLR-1905-087,Collier_County,25.99,81.57
CIT-0265-003,Citrus_county,28.88,82.59
CIT-0267-005,Citrus_county,28.88,82.63
CIT-0268-006,Citrus_county,28.88,82.60
CIT-0270-008,Citrus_county,28.90,82.64
CIT-0271-009,Citrus_county,28.90,82.64
CIT-0277-011,Citrus_county,28.99,82.35
CLR-1906-088,Collier_County,25.96,81.53
CIT-0280-013,Citrus_county,29.04,82.50
CIT-0282-015,Citrus_county,28.89,82.60
CIT-0283-016,Citrus_county,28.89,82.59
CIT-0286-019,Citrus_county,28.91,82.64
CIT-0287-020,Citrus_county,29.01,82.62
CLR-1907-089,Collier_County,25.96,81.51
CIT-0355-022,Citrus_county,28.84,82.33
CIT-0357-024,Citrus_county,28.84,82.65
CIT-0358-025,Citrus_county,28.80,82.60
CIT-0359-026,Citrus_county,28.78,82.62
CIT-0360-027,Citrus_county,28.72,82.58
CIT-0961-029,Citrus_county,28.90,82.37
CIT-0962-030,Citrus_county,28.84,82.32
CIT-1167-033,Citrus_county,28.88,82.30
CIT-1168-034,Citrus_county,28.84,82.33
