Sample_ID,PFOA,PFNA,PFOS,PFBS,FBSA,PFHxA,PFHpA,PFHxPA,NADONA,FHxSA,Syn35,PFDA,PFDoA,Oak6,Oak10,Syn72,6_6PFPi,PFPrS,PFPeS,PFHxS,P4MOA,PFUdA,PFECHS,Syn45,9Cl-PF3ONS,Oak8,Syn32,11Cl-PF3OUDS,Syn53,4_2FTS,PFNS,SUM(PFAS)
MRT_1341_038,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
IDR_0073_005,2.8,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
IDR_1720_021,5.2,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
MRT_0142_003,5,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
MRT_0154_011,13,2.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
MRT_0185_016,3.8,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
MRT_1308_028,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
MRT_1309_029,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
MRT_1310_030,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
MRT_1327_034,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
MRT_1361_044,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
MRT_1362_045,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
CLR_1946_103,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
VOL_0942_003,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
VOL_1079_006,4.5,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
VOL_1080_007,4,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
DIX_0113_005,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
IDR_0069_001,3.9,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
IDR_0070_002,4.6,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
IDR_0089_010,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
IDR_1407_012,4.2,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
IDR_1409_014,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
IDR_1719_020,5.4,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
MRT_0139_001,3.7,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
MRT_0146_006,6.2,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
MRT_0147_007,7,2.7,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
MRT_0150_010,2.9,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
MRT_0176_013,4,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
MRT_0178_014,4.8,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
MRT_0179_015,5.9,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
MRT_0186_017,9.2,2.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
MRT_0245_018,6.7,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
MRT_0246_019,2.5,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
MRT_0745_021,5.3,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
MRT_0747_023,3.9,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
MRT_0748_024,5,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
MRT_0749_025,6.7,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
MRT_1292_027,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
MRT_1324_031,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
MRT_1326_033,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
MRT_1340_037,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
MRT_1353_041,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
MRT_1363_046,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
