Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
USEPA et al 2014,Gunnison River,Fish Tissue,40.94132,-102.34142,2014,,,,,,ng/g,1.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,South Platte River,Fish Tissue,37.17608,-105.73105,2014,,,,,,ng/g,26.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,"Grande, Rio",Fish Tissue,40.39451,-103.47733,2013,,,,,,ng/g,2.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,South Platte River,Fish Tissue,40.47797,-108.90822,2014,,,,,,ng/g,73.2,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Yampa River,Fish Tissue,39.65513,-107.06715,2014,,,,,,ng/g,59.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Colorado River,Fish Tissue,39.18629,-108.90477,2013,,,,,,ng/g,6.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Colorado River,Fish Tissue,,,2014,,,,,,ng/g,6.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,3503,Ground Water,,,2019,02/26/2019,,,,,ng/L,6,4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,4044,Ground Water,,,2019,02/26/2019,,,,,ng/L,0,5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,ACMW_03,Ground Water,,,2019,02/28/2019,,,,,ng/L,0,10,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,CSC _MW_10,Ground Water,,,2019,02/27/2019,,,,,ng/L,41,25,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_06,Ground Water,,,2019,02/28/2019,,,,,ng/L,6,31,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_8,Ground Water,,,2019,02/25/2019,,,,,ng/L,22,16,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,OUI_WP5,Ground Water,,,2019,02/27/2019,,,,,ng/L,0,9,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,Pioneer Park,Ground Water,,,2019,02/25/2019,,,,,ng/L,133,14,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
