#,Country,City,Name of facility,Lat,Lon,Currently operating?,Mesaurement data - peer-reviewed? *(surface water_ groundwater_ air_ dust_ soil_ sediment_ plants_ animals_ humans),REMOVE FOR PUBLIC Other measurement data? Grey-literature and/or drinking water?,Nearby PFAS production?,Data included Table S3,Comment regarding nearby PFAS production (10 km radius),Company website information,Evidence of production Ref 2,Evidence of production Ref 3,Evidence of production Ref 4,Refs with measurement data (see Table S4)
1,UK,Thornton-Cleveleys,AGC Chemicals Europe,53.879,-3,Yes,Yes,,Maybe,Yes,Located within the Hillhouse International Industrial Park. Several neighboring chemical manufacturers (e.g._ Victrex_ Shakespeare Monofilament) are present_ but none are publicly known or reported to produce PFAS or PFAS precursors.,https://www.agc-chemicals.com/sg/en/company/division/index.html,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Barber2007_ Dalmijn2025b_ O'Rourke2024
2,France,Pierre-Benite,Arkema France and Daikin Chemical,45.71,4.824,Yes,Yes,,Maybe,Yes,Situated within the Vallée de la chimie (Lyon region_ France)_ a large chemical industrial zone hosting multiple manufacturers (Elkem Silicones_ TotalEnergies Feyzin_ Rhône Poulenc Chimie_ Givaudan Lavirotte). Only Arkema and Daikin are publicly known to have used or produced PFAS in connection with fluoropolymer manufacturing; no independent PFAS manufacturing by other nearby companies is reported.,https://www.arkema.com/france/en/locations/production-centers/pierre-benite/,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Bach2017_ Dauchy2012_ Dauchy2023_ Mourier2019_ Saliu2025_ Teymoorian2025
3,France,Tavaux,Syensqo (Solvay),47.052,5.41,Yes,No,Yes,,No,,https://www.syensqo.com/en/syensqo-around-the-world/france,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
4,Netherlands,Dordrecht,Chemours Netherlands,51.816,4.728,Yes,Yes,,Maybe,Yes,Located in an industrial zone in Dordrecht (Netherlands) hosting multiple chemical companies (Ashland_ Brenntag_ Delta Chemicals_ Hoetmer). None of the neighbouring companies are publicly known to produce PFAS or fluorochemical intermediates.,https://www.chemours.com/en/about-chemours/global-reach/dordrecht,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Brandsma2019_ Dalmijn2025a_ Gebbink2017_ Gerardu2023_ Pancras2024
5,Germany,Burgkirchen,Dyneon/3M - Chemiepark Gendorf & Gore,48.178,12.724,Yes,Yes,,Maybe,Yes,Large multi-tenant chemical park (InfraServ Gendorf) hosting >30 firms (e.g._ Clariant_ Vinnolit_ Synthomer).  PFAS production only with fluoropolymer production of 3M and Gore. ,https://www.gendorf.de/en/Standort/Ueber%20den%20Chemiepark/Standortunternehmen,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,https://dip.bundestag.de/vorgang/schlie%C3%9Fung-des-standortes-der-firma-dyneon-im-industriepark-gendorf-in/302949?f.deskriptor=Industriestandort&rows=25&pos=12&ctx=d#:~:text=Dyneon%20im%20Industriepark%20Gendorf%20in%20Burgkirchen%20zum_Verlusts%20von%20etwa%20700%20Arbeitspl%C3%A4tzen%20sowie%20des, Joerss2020_ Hangen2010
6,Italy,Spinetta,Syensqo Specialty Polymers (Solvay),44.885,8.676,Yes,Yes,,No,Yes,Surrounding industries (e.g._ Arkema office_ Guala Closures_ Depural) are unrelated.,https://www.solvay.com/en/solvay-around-the-world/italy,PFAS Restriction Proposal Annex A,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,https://www.syensqo.com/en/innovation/pfas,Morganti2021_ Rusconi2015_ Teymoorian2025_ Valsecchi2015
7,Poland,Tarnów,Zak?ady Azotowe (Grupa Azoty),50.02,20.921,Fluoropolymer production stopped in 2009(?) ,No,,,No,,https://www.inbras.com.pl/produkty/tworzywa-konstrukcyjne/ptfe,https://pl.wikipedia.org/wiki/Zak%C5%82ady_Azotowe_w_Tarnowie-Mo%C5%9Bcicach,Dalmijn2024 - https://xlink.rsc.org/?DOI=D3EM00426K,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
8,Russia,Perm,HaloPolymer Perm,58.015,55.912,Yes,No,nothing found,,No,,https://halopolymer.com/company/,http://en.notes.fluorine1.ru/public/pdfs/130_2_en.pdf,,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
9,Russia,Kirovo-Chepetsk,HaloPolymer Kirovo-Chepetsk,58.538,49.981,Yes,No,nothing found,,No,,https://halopolymer.com/company/,https://halopolymer-usa.com/wp-content/uploads/acdd375bac7f03040583813cc715adfc.pdf,https://link.springer.com/article/10.1134/S0018143921050064,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
10,USA,Augusta_ Georgia,Syensqo Specialty Polymers (Solvay),33.368,-82.012,under construction until ~2028,n/a,,,No,,https://www.syensqo.com/en/usa/augusta,,,,
11,USA,Calvert City_ Kentucky,Arkema – Calvert City Plant,37.055,-88.366,Yes,No,Yes,,No,,https://www.arkema.com/usa/en/united-states/production-centers/calvert-city-ky/,https://www.arkema.com/global/en/media/newslist/news/global/investorrelations/2025/20250226-pvdf-capacity-expansion-calvert-city/,https://doi.org/10.1016/j.mtcomm.2025.113438,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
12,USA,Bayonne_ New Jersey,AGC Chemicals,40.66,-74.106,closed in 2007,No,Yes,,No,,https://www.agc.com/en/news/pdf/20070928e.pdf,https://cen.acs.org/articles/85/i41/Asahi-Glass-Shuts-New-Jersey.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,
13,USA,Thorofare_ New Jersey,Syensqo Specialty Polymers (Solvay),39.843,-75.208,Yes,Yes,,Maybe,Yes,Located in the Delaware River industrial corridor with nearby chemical producers (e.g._ Paulsboro Refining_ Johnson Matthey_ Redox Chemicals_ Sunoco). No public evidence of independent PFAS production nearby.,https://www.solvay.com/en/press-release/solvay-launches-non-fluorosurfactant-technologies-in-us,https://www.syensqo.com/en/innovation/pfas,https://www.syensqo.com/sites/g/files/alwlxe161/files/2025-05/West-Deptford-Project-Fact-Sheet-April-2025.pdf,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,MacGilivray2021_ Washington2020
14,USA,Deepwater_ New Jersey,Chemours Chambers Works,39.69,-75.501,Yes,Yes,,Maybe,Yes,Located in the Delaware River industrial corridor with other chemical producers (e.g._ Croda Atlas Point_ DuPont_ Siegfried USA). No public evidence of independent PFAS production nearby.,https://www.chemours.com/en/about-chemours/global-reach/chambers-works,https://njbmagazine.com/monthly-articles/chemours-company-a-manufacturing-champion-at-chambers-works/,https://www.chemours.com/en/about-chemours/global-reach/chambers-works/technical-documents,https://www.epa.gov/hwcorrectiveactioncleanups/hazardous-waste-cleanup-chemours-chambers-works-deepwater-new-jersey,Schumacher2024
15,USA,Parkersburg_ West Virginia,Chemours Washington Works,39.269,-81.67,Yes,Yes,Yes,No,Yes,Surrounding companies (Kraton Corporation_ MOV Pure Pressure Washing LLC_ others) are most likely not PFAS-related.,https://www.chemours.com/en/about-chemours/global-reach/washington-works,https://www.manufacturingdive.com/news/chemours-plans-teflon-pfa-forever-chemicals-plant-expansion-west-virginia/724609/,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Barton2006_ Davis2007_ Frisbee2009_ Galloway2020_ Hansen2002_ Steenland2009_ Zhu2019_  
