Site name,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFU0A,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re ? la Tortue ? Delson,0,4.72,2.66,2.32,1.38,1.35,0.34,0.086,0,0,0,0,0,0,0.14,0,0.64,0.05,0.26,0,0.97,0,0,0,0,0,0.07,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Batiscan ? Sainte-Genevi?ve-de-Batiscan,0,0.52,0.14,0.14,0.28,0.26,0.13,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Bayonne ? Sainte-Genevi?ve-de-Berthier,0,1.26,0.94,1.06,1.71,0.81,1.49,0.065,0.18,0,0,0,0,0,0,0,0.32,0.02,0.15,0,0.56,0,0,0,0,0,0.04,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
Rivi?re B?cancour ? B?cancour ,0,1.35,0.82,0.97,0.67,0.97,0.22,0.035,0,0,0,0,0,0,0,0,0.24,0.02,0.09,0,0.33,0,0,0,0,0,0.03,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Boyer ? Saint-Vallier,0,2.72,1.85,1.87,1.25,1.62,0.48,0.082,0.08,0,0,0,0,0,0.07,0,0.64,0.09,0.55,0.03,2.18,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
Rivi?re Ch?teauguay ? Ch?teauguay,0,1.25,0.63,0.74,0.52,0.79,0.2,0.075,0,0,0,0,0,0,0,0,0.25,0.02,0.12,0,0.35,0,0,0,0,0,0.04,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Chaudi?re ? L?vis,0,1.93,1.18,1.21,0.89,1.13,0.36,0.096,0,0,0,0,0,0,0,0,0.26,0.02,0.07,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Du Loup ? Louiseville,0,1.05,0.54,0.66,0.31,0.35,0.32,0.034,0,0,0,0,0,0,0,0,0.1,0,0.03,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Des Mille-Iles ? Laval,0,1.41,0.72,0.75,0.88,0.49,0.17,0,0,0,0,0,0,0,0,0,0.21,0.03,0.25,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0
Rivi?re Des Prairies ? Montr?al,0,1.42,0.28,0.31,0.47,0.44,0.16,0.037,0,0,0,0,0,0,0,0,0.11,0.01,0.06,0,0.28,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Jacques-Cartier ? Donnacona,0,0.45,0.11,0.13,0.23,0.21,0.11,0,0,0,0,0,0,0,0,0,0.05,0.02,0.07,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
