Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Belle Rivi?re ? Mirabel (BR1),nd,1.86,0.41,0.38,nd,0.19,nd,nd,nd,nd,nd,nd,nd,nd,0.18,nd,nd,nd,0.76,nd,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Belle Rivi?re ? Mirabel (BR2),0.68,9.03,20.57,24.16,15.05,5.28,0.51,nd,nd,nd,nd,nd,nd,nd,2.49,0.17,5.07,5.79,46.16,1.6,39,nd,nd,nd,nd,nd,2.61,2.95,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,6.82,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.34,1.91,nd,nd
Belle Rivi?re ? Mirabel (BR3),1.11,23.14,88.43,75.93,38.6,12,2.46,0.45,nd,nd,nd,nd,nd,nd,4.46,0.35,7.8,10.42,80.77,3.74,142.98,nd,nd,nd,nd,nd,14.59,27.81,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,7.82,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,0.06,nd,nd,nd,nd,nd,8,50.64,5.07,0.06
Belle Rivi?re ? Mirabel (BR4),nd,16.22,60.27,43.5,19.36,10.16,1.93,0.51,nd,nd,nd,nd,nd,nd,2.64,nd,5.12,5.44,44.21,2.25,79.04,nd,nd,nd,nd,nd,3.01,9.26,0.1,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.53,nd,nd,nd,nd,nd,nd,nd,15.48,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,7.39,40.26,8.36,0.03
Canal Lachine ? Montr?al,1.09,1.27,0.56,0.69,0.55,0.49,0.16,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.2,nd,0.1,nd,0.92,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd
Coul?e Grou ? Montreal,nd,4.64,3.5,5.61,1,4.92,0.29,0.03,nd,nd,nd,nd,nd,nd,0.27,nd,1.44,0.13,0.28,0.05,4.33,nd,nd,nd,nd,nd,0.03,nd,nd,0.07,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Cours d'eau du 9e rang ? Alma ,nd,1.48,0.64,1.06,0.37,0.37,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.28,nd,0.14,nd,0.6,nd,nd,nd,nd,nd,0.03,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Fleuve Saguenay ? La Baie,nd,0.25,0.26,0.31,0.22,0.17,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,0.03,nd,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re ? la Scie ? Levis,nd,1.51,1.64,2.32,1.21,1.1,0.18,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.47,0.26,1.78,0.06,3.53,nd,nd,nd,nd,nd,0.05,nd,nd,0.26,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd
Rivi?re ? la Tortue ? Delson,nd,5.28,6.42,6.3,2.01,1.56,0.52,0.08,nd,nd,nd,nd,nd,nd,nd,nd,1.27,0.03,0.21,nd,1.18,nd,nd,nd,nd,nd,0.13,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,0.67,0.16,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
