Site name,Latitude,Longitude
BOU1,45.64867,-73.48136
BOU2,45.644183,-73.466233
BOU3,45.64645,-73.4526
BOU4,45.569363,-73.507785
BR_08,44.600606,-75.660644
BR_09,44.634389,-75.612239
BR_11,44.790014,-75.371433
BR_12,44.846253,-75.299594
CAC_1,47.974967,-69.7165
CAC_2,47.987831,-69.624706
CAC_3,47.928483,-69.54455
CHA1,45.436939,-73.787239
CHA2,45.419406,-73.777672
CHA3,45.403089,-73.768933
CON1,45.845717,-73.310067
CON1_5,45.922597,-73.242328
CON2,45.8538,-73.27965
CON3,45.850167,-73.269167
CW19,44.993964,-74.755747
CW20,45.027006,-74.676644
CW21,45.002675,-74.637756
CW23,45.037842,-74.525328
IRQ1,44.581117,-75.679583
IRQ1v5,44.736,-75.456472
IRQ2,44.81975,-75.315517
LSF1,45.2263,-74.25158
LSF2,45.20903,-74.23228
LSF3,45.19048,-74.21263
LSF3.5,45.347333,-73.971519
LSF4,45.041783,-74.575214
LSF24,45.126186,-74.491636
LSF25,45.180981,-74.373731
LSF26,45.183517,-74.216408
LSL_1,45.357467,-73.809383
LSL_2,45.396183,-73.838062
LSL_3,45.379667,-73.809383
LSL13,44.897636,-75.170031
LSL14,44.990811,-74.947294
LSL15,45.009914,-74.9389
LSL16,45.013814,-74.890022
LSL17,45.026069,-74.890078
LSL18,45.019083,-74.855286
LSPA_1,46.267261,-72.718877
LSPA_2,46.263524,-72.708745
LSPA3,46.256587,-72.694571
LSPA4,46.231208,-72.675508
LSPM1,46.22665,-72.854883
LSPM2,46.204067,-72.824783
LSPM3,46.183033,-72.799467
MASS1,47.2516,-70.544167
MASS2,47.221844,-70.452017
MASS3,47.170421,-70.355877
ONT1,44.1941,-76.577883
ONT2,44.237683,-76.39835
ORL1,47.058254,-70.75197
ORL2,47.013333,-70.698767
ORL3,46.98877,-70.661748
QC1,46.843411,-71.179714
QC2,46.83937,-71.166825
QC3,46.833885,-71.152614
REP1,45.744983,-73.43195
REP1v5,45.8221,-73.359961
REP2,45.741667,-73.424033
REP3,45.745028,-73.406417
REP4,45.736033,-73.411833
SAD1,46.72085,-71.4773
SAD2,46.71368,-71.471017
SAD3,46.705459,-71.461456
SORAM1,46.073983,-73.088683
SORAM2,46.067283,-73.07645
SORAM3,46.06175,-73.0656
SORAV1,46.172584,-72.964877
SORAV2/SORAVE2,46.13472,-72.952109
SORAV3/SORAVE3,46.160331,-72.949478
STA1,46.57575,-72.098125
STA2,46.569129,-72.098872
STA3,46.562646,-72.10002
STAN_1,47.715604,-69.924038
STAN_2,47.680059,-69.860108
STAN_3,47.66745,-69.787083
STIR1,47.55815,-70.18045
STIR2,47.5343,-70.1054
STIR3,47.504083,-70.021517
STJO_1,47.445917,-70.300367
STJO2,47.416383,-70.219967
STJO3,47.3906,-70.13095
STL1,44.899817,-75.145133
STL1.5,44.958861,-74.987861
STL2,45.005017,-74.76185
STM1,46.349237,-72.527838
STM2,46.345992,-72.529377
STM3,46.340461,-72.520947
STM4,46.336517,-72.518583
TCL_1,45.588744,-73.497937
TCM1,45.7048,-73.478117
TCM_1-5,45.6665,-73.46425
TCM2,45.712764,-73.444502
TCM_2_5,45.678933,-73.456733
TCM_3,45.703167,-73.444867
THI_01,44.213225,-76.545683
THI_02,44.240247,-76.418039
THI_03,44.259283,-76.378431
THI_04,44.303414,-76.196936
THI_05,44.323247,-76.166836
THI_06,44.324406,-76.158958
THI_07,44.483978,-75.826772
TRA1,45.996917,-73.187017
TRA2,45.996392,-73.183399
TRA3,45.995608,-73.17874
Belle Rivi?re ? Mirabel (BR1),45.6799,-74.0613
Belle Rivi?re ? Mirabel (BR2),45.658472,-74.085532
Belle Rivi?re ? Mirabel (BR3),45.649902,-74.093588
Belle Rivi?re ? Mirabel (BR4),45.6315,-74.0918
Canal Lachine ? Montr?al,45.47754,-73.57649
Coul?e Grou ? Montreal,45.6983,-73.5039
Cours d'eau du 9e rang ? Alma ,48.55203,-71.65548
Fleuve Saguenay ? La Baie,48.3214,-70.8441
Foss? Daigneault ? Brossard,45.4262,-73.4552
Grand Lac Saint-Fran?ois ? La Source (Saint-Romain),45.8122,-71.1023
Lac Archambault ? Saint-Donat-de-Montcalm,46.3152,-74.2272
Lac Aylmer ? Disraeli,45.8979,-71.3574
Lac Bouchard au Parc de la Mauricie ,46.76242,-72.83924
Lac Bouchette ? Lac-Bouchette,48.2612,-72.19065
Lac Brome ? Fisher's Point,45.2559,-72.49518
Lac Brompton ? Saint-Denis-de-Brompton,45.4634,-72.133
Lac de l'Achigan ? Saint-Hippolyte,45.9527,-73.9693
Lac des Commissaires au Domaine-du-Roy ,48.16085,-72.2372
Lac du Fou au Parc de la Mauricie,46.777479,-72.88693
Lac ?douard au Parc de la Mauricie,46.765971,-72.91872
