"","MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","ActivityStartDate","OrganizationIdentifier","11Cl-PF3OUdS","3:3 FTCA","4:2 FTS","6:2 FTS","8:2 FTS","9Cl-PF3ONS","ADONA","HFPO-DA","MeFOSAA","NFDHA","PFDA","PFDoA","PFEESA","PFHpA","PFHpS","PFHxS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFOSA","PFPeA","PFTrDA","PFUnA","5:3 FTCA","7:3 FTCA","N-EtFOSA","N-MeFOSA","PFHxA","N-EtFOSE","PFBA","PFBS","PFOS"
"1","21FLCEN_WQX-G4CE0144","27.91292","-81.35394","2024-12-18","21FLCEN_WQX",2,8,2,16,2,2,0.4,4,0.8,8,4,3.15,0.8,3.1,0.8,1.1,0.8,0.8,2,0.4,4.6,0.4,6.4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","21FLCEN_WQX-G4CE0144","27.91292","-81.35394","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.45,0.8,3.5,0.8,1.3,0.8,0.8,2,0.4,5.4,0.4,7.2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","21FLCEN_WQX-G4CE0144","27.91292","-81.35394","2025-04-17","21FLCEN_WQX",2.1,8.3,2.1,8.3,2.1,2.1,0.42,4.2,0.83,8.3,4.2,3.8,0.83,3.9,0.83,1.2,0.83,0.83,2.1,0.42,6.2,0.42,8.5,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","21FLCEN_WQX-G4CE0144","27.91292","-81.35394","2025-06-18","21FLCEN_WQX",2,7.8,2,7.8,2,2,0.39,3.9,0.78,7.8,3.9,3.4,0.78,3.8,0.78,1.3,0.78,0.78,2,0.39,5.7,0.39,6.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","21FLCEN_WQX-G4CE0206","27.89404","-81.353739","2024-12-18","21FLCEN_WQX",2,8,2,16,2,2,0.4,4,0.8,8,4,3.1,0.8,3,0.8,1.1,0.8,0.8,2,0.4,4.2,0.4,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","21FLCEN_WQX-G4CE0206","27.89404","-81.353739","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.8,0.8,3.9,0.8,1.3,0.8,0.8,2,0.4,5.1,0.4,7.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","21FLCEN_WQX-G4CE0206","27.89404","-81.353739","2025-04-17","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.4,0.8,3.7,0.8,1.1,0.8,0.8,2,0.4,6.1,0.4,7.7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","21FLCEN_WQX-G4CE0206","27.89404","-81.353739","2025-06-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.5,0.8,3.3,0.8,1.2,0.8,0.8,2,0.4,5.7,0.4,6.7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","21FLCEN_WQX-G4CE0248","27.869655987","-81.346961","2025-02-18","21FLCEN_WQX",1.9,7.5,1.9,7.5,1.9,1.9,0.38,3.8,0.75,7.5,3.8,115.95,0.75,180,1.9,33,0.75,0.75,11,0.38,270,0.38,280,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","21FLCEN_WQX-G4CE0248","27.869655987","-81.346961","2025-04-17","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,116,0.8,220,1.8,40,0.8,0.8,3.8,0.4,310,0.4,280,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","21FLCEN_WQX-G4CE0248","27.869655987","-81.346961","2025-06-18","21FLCEN_WQX",2,7.9,2,7.9,2,2,0.4,4,0.87,7.9,4,116,0.79,200,2,33,0.79,0.79,13,0.4,280,0.4,320,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","21FLCEN_WQX-G4CE0258","27.873477317","-81.34875629","2024-12-18","21FLCEN_WQX",1.9,7.5,1.9,15,1.9,1.9,0.38,3.8,0.75,7.5,3.8,4.7,0.75,5.7,0.75,1.6,0.75,0.75,1.9,0.38,7.9,0.38,11,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","21FLCEN_WQX-G4CE0258","27.873477317","-81.34875629","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,4.5,0.8,4.7,0.8,1.6,0.8,0.8,2,0.4,7,0.4,9.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","21FLCEN_WQX-G4CE0258","27.873477317","-81.34875629","2025-04-17","21FLCEN_WQX",2,8.1,2,8.1,2,2,0.41,4.1,0.81,8.1,4.1,5.3,0.81,6.6,0.81,1.8,0.81,0.81,2,0.41,9.8,0.41,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","21FLCEN_WQX-G4CE0258","27.873477317","-81.34875629","2025-06-18","21FLCEN_WQX",2,8.2,2,8.2,2,2,0.41,4.1,0.82,8.2,4.1,6.5,0.82,8.2,0.82,2.2,0.82,0.82,2,0.41,13,0.41,15,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","21FLCEN_WQX-G4CE0259","27.874352517","-81.34838763","2024-12-18","21FLCEN_WQX",2,8,2,16,2,2,0.4,4,0.8,8,4,4.65,0.8,5.3,0.8,1.8,0.8,0.8,2,0.4,7.6,0.4,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","21FLCEN_WQX-G4CE0259","27.874352517","-81.34838763","2025-02-18","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,3.85,0.8,3.9,0.8,1.4,0.8,0.8,2,0.4,6.7,0.4,8.7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","21FLCEN_WQX-G4CE0259","27.874352517","-81.34838763","2025-04-17","21FLCEN_WQX",2,8,2,8,2,2,0.4,4,0.8,8,4,5.7,0.8,6.3,0.8,1.8,0.8,0.8,2,0.4,10,0.4,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
