Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFBA,PFHxA,PFOA,PFNA,PFDA,PFUnDA,PFHxS,PFOS,PFHpA,PFDoA,PFTrDA,PFTeDA,FBSA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFHxDA,PFHxSA,PFNS,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
Ahrens_2016,C_SW,Surface Water,11.6212318,37.40888617,2014,10/11/2014,,Unnamed_SPE_LCMS_MS,,4,ng/L,0,0,0,0,0,0,0.073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,H_SW,Surface Water,11.61439292,37.37269612,2014,10/14/2014,,Unnamed_SPE_LCMS_MS,,4,ng/L,2.2,0,0.33,0,0,0,0.053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,P_SW,Surface Water,11.60707216,37.40145231,2014,10/11/2014,,Unnamed_SPE_LCMS_MS,,4.1,ng/L,2.8,0.78,0.57,0.055,0.11,0,1.2,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,Y_SW,Surface Water,11.62859969,37.41188599,2014,10/13/2014,,Unnamed_SPE_LCMS_MS,,2.2,ng/L,0,1.3,0.69,0.17,0.12,0.078,1,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,Z_SW,Surface Water,11.71886649,37.33591417,2014,10/14/2014,,Unnamed_SPE_LCMS_MS,,6,ng/L,2.4,0.08,0,0,0,0,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,C_Sediment,Sediment or Soil,11.6212318,37.40888617,2014,10/11/2014,,Unnamed_SPE_LCMS_MS,,4,ng/g,0,0.21,,,0.023,0.017,,0,0,0.015,0,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,H_Sediment,Sediment or Soil,11.61439292,37.37269612,2014,10/14/2014,,Unnamed_SPE_LCMS_MS,,4,ng/g,0,0.15,,,0,0,,0.034,0,0,0.017,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,P_Sediment,Sediment or Soil,11.60707216,37.40145231,2014,10/11/2014,,Unnamed_SPE_LCMS_MS,,4.1,ng/g,0,0.19,,,0.011,0,,0.013,0,0.013,0.009,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,Y_Sediment,Sediment or Soil,11.62859969,37.41188599,2014,10/13/2014,,Unnamed_SPE_LCMS_MS,,2.2,ng/g,0,0.18,,,0,0.029,,0.018,0,0,0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_2016,Z_Sediment,Sediment or Soil,11.71886649,37.33591417,2014,10/14/2014,,Unnamed_SPE_LCMS_MS,,6,ng/g,0.021,0.25,,,0,0.074,,0.089,0.017,0.019,0.009,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
