Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFU0A,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,FOSAA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Ahrens_et_al_2023,W1,Ocean_Marine_or_Sea,78.93472222,11.90361111,7/1/2015,12:00,Unnamed_SPE+LCMS/MS,0.068,0.39,0,0.06,0,0.12,0.2,,,,0,,,0,,1.1,0.021,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0,,,,
Ahrens_et_al_2023,W2,Ocean_Marine_or_Sea,78.10277778,13.92111111,6/18/2015,12:35,Unnamed_SPE+LCMS/MS,0.047,0.18,0,0,0,0.064,0.065,,,,0,,,0,,0,0.0081,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.081,,,,
Ahrens_et_al_2023,W3,Ocean_Marine_or_Sea,78.09333333,14.15583333,6/17/2015,13:55,Unnamed_SPE+LCMS/MS,0.023,0.21,0,0,0,0.059,0.068,,,,0,,,0,,0.47,0.03,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.059,,,,
Ahrens_et_al_2023,W4,Ocean_Marine_or_Sea,78.06500000,14.19805556,6/17/2015,13:35,Unnamed_SPE+LCMS/MS,0.017,0.24,0,0,0,0.064,0.1,,,,0,,,0.061,,0.68,0.032,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.7,,,,
Ahrens_et_al_2023,W5,Ocean_Marine_or_Sea,78.05222222,14.20194444,6/17/2015,13:15,Unnamed_SPE+LCMS/MS,0.094,0.21,0,0,0,0.091,0.13,,,,0,,,0,,0.63,0.03,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.25,,,,
Ahrens_et_al_2023,W6,Ocean_Marine_or_Sea,78.00694444,14.27805556,6/17/2015,12:45,Unnamed_SPE+LCMS/MS,0.058,0.3,0,0.061,0,0.08,0.16,,,,0,,,0.33,,1.4,0.035,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.21,,,,
Ahrens_et_al_2023,W7,Ocean_Marine_or_Sea,77.98055556,14.26777778,6/17/2015,12:20,Unnamed_SPE+LCMS/MS,0.041,0.28,0,0,0,0,0.083,,,,0,,,0.057,,0.55,0.042,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0,,,,
Ahrens_et_al_2023,W8,Ocean_Marine_or_Sea,78.10500000,14.44388889,6/18/2015,13:30,Unnamed_SPE+LCMS/MS,0.013,0.21,0,0,0,0.088,0.13,,,,0,,,0,,0.68,0.021,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0,,,,
Ahrens_et_al_2023,W9,Ocean_Marine_or_Sea,78.11416667,14.94722222,6/12/2015,12:10,Unnamed_SPE+LCMS/MS,0.021,0.3,0,0,0,0.093,0.12,,,,0,,,0.27,,0.92,0.032,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0,,,,
Ahrens_et_al_2023,W10,Ocean_Marine_or_Sea,78.20333333,15.19666667,6/18/2015,13:45,Unnamed_SPE+LCMS/MS,0.012,0,0,0,0,0.078,0.063,,,,0,,,0,,0.14,0.017,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.069,,,,
Ahrens_et_al_2023,W11,Ocean_Marine_or_Sea,78.23000000,15.29500000,6/12/2015,11:20,Unnamed_SPE+LCMS/MS,0.12,0.2,0,0,0,0.08,0.04,,,,0,,,0,,0,0.028,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.5,,,,
Ahrens_et_al_2023,W12,Raw Waste water,78.24777778,15.49833333,6/19/2015,12:00,Unnamed_SPE+LCMS/MS,27,,,,423,,,,,,0,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_et_al_2023,W13,Raw Waste water,78.24944444,15.50027778,7/12/2015,14:00,Unnamed_SPE+LCMS/MS,99,,,,24,,,,,,47,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahrens_et_al_2023,W14,Surface Water,78.23944444,15.50833333,6/20/2015,13:00,Unnamed_SPE+LCMS/MS,467,235,2.8,38,275,,237,,,,1446,,,,,,30,,,,,,,,,1.4,,0,,,1.1,,0.12,,0,,,0,0,20,,,,
Ahrens_et_al_2023,W15,Ocean_Marine_or_Sea,78.25222222,15.50833333,6/12/2015,11:00,Unnamed_SPE+LCMS/MS,0.062,0.24,0,0,0,0.021,0.043,,,,0,,,0,,0,0.041,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.27,,,,
Ahrens_et_al_2023,W16,Surface Water,78.24000000,15.53305556,6/20/2015,13:45,Unnamed_SPE+LCMS/MS,35,6,0.068,0.68,19,22,5.4,,,,5,,,8.6,,7.8,6.2,,,,,,,,,0.054,,0,,,0,,0,,0,,,0,0,2.3,,,,
Ahrens_et_al_2023,W17,Ocean_Marine_or_Sea,78.24305556,15.65527778,6/12/2015,10:15,Unnamed_SPE+LCMS/MS,0.014,0.15,0,0,0,0,0,,,,0,,,0,,0,0.029,,,,,,,,,0,,0,,,0,,0,,0,,,0,0,0.062,,,,
Ahrens_et_al_2023,W18,Raw Waste water,78.22416667,15.66250000,6/10/2015,13:00,Unnamed_SPE+LCMS/MS,1,11,3.9,36,0.35,5.1,0.86,,,,2.9,,,0,,,0,,,,,,,,,1.1,,0,,,0.71,,1.5,,0.11,,,0.11,0,,,,,
