Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Sampling Depth (m),Streamflow (m3/s),PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFU0A,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Bai_a0_Son_2021,TR1,Surface Water,39.235833,-120.025,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,1.8,0,0,0,4.9,0,0,,,,,,0,0,0,5.6,,,,,,,,,0,,,,,,,0,0,,,0,0,,,,,
Bai_a0_Son_2021,TR2,Surface Water,39.510556,-119.865556,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,3.4,0,0,0,3.2,0,0,,,,,,1.3,0,0,7.2,,,,,,,,,0,,,,,,,0,0,,,0,0,,,,,
Bai_a0_Son_2021,TR3,Surface Water,39.521389,-119.770556,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,3.3,0,0,0,4.2,0,0,,,,,,1.7,0,0,2.3,,,,,,,,,0,,,,,,,0,5.2,,,9,0,,,,,
Bai_a0_Son_2021,TR4,Surface Water,39.513889,-119.729167,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,1.6,0,0,0,3.3,0,0,,,,,,0,0,0,2.5,,,,,,,,,0,,,,,,,0,8.6,,,0,0,,,,,
Bai_a0_Son_2021,TR5,Surface Water,39.517222,-119.705556,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,17.4,,19.2,0,0,33.9,59.6,10.4,0,,,,,,21.8,5.6,0,11.4,,,,,,,,,0,,,,,,,0,23.7,,,0,0,,,,,
Bai_a0_Son_2021,TR6,Surface Water,39.510833,-119.668889,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,6.2,0,0,4.9,7.4,0,0,,,,,,1.9,0,0,3,,,,,,,,,0,,,,,,,0,11.6,,,0,0,,,,,
Bai_a0_Son_2021,TR7,Surface Water,39.564722,-119.486667,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,9.4,0,0,5,21.9,0,0,,,,,,11.3,0,0,4.7,,,,,,,,,0,,,,,,,0,0,,,0,0,,,,,
Bai_a0_Son_2021,TR8,Surface Water,39.849167,-119.456944,2019,4/15/2019,,Unnamed_SPE_LCMS_MS,0.15,,0,,10,0,0,7,39.4,3.6,0,,,,,,8.1,0,0,5.1,,,,,,,,,0,,,,,,,0,9.1,,,0,0,,,,,
Bai_a0_Son_2021,LVW1_winter,Surface Water,36.104722,-115.019111,2019,1/18/2019,,Unnamed_SPE_LCMS_MS,0.15,,16.4,,45.1,0,0,15.6,118.9,18.5,0,,,,,,65.7,0,0,31.8,,,,,,,,,0,,,,,,,0,0,,,0,0,,,,,
Bai_a0_Son_2021,LVW2_winter,Surface Water,36.0875,-114.984722,2019,1/18/2019,,Unnamed_SPE_LCMS_MS,0.15,,36.1,,65.5,0,0,28.7,187,25.9,0,,,,,,170,9.3,21.8,31.5,,,,,,,,,0,,,,,,,0,16.2,,,0,0,,,,,
