Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFEESA,PFDoS,NFDHA,PFECA-G,PFMBA
Breitmeyer_et_al_2023,0146488120211116063009,Surface Water,40.20161111,-75.18541667,11/16/2021,6:30:00,EPA 1633,5.4,7.3,0.4,1.3,2.8,5.4,3.8,0.4,1.6,1.6,1.5,1.6,,5.9,0.5,5.5,3.9,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146488520211116083009,Surface Water,40.21011111,-75.17188889,11/16/2021,8:30:00,EPA 1633,6.3,7.4,0.4,1.7,2.6,5.7,4.5,0.4,1.6,1.7,1.5,1.7,,7.5,0.6,6.0,5.4,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.7,1.7,1.7,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146489420211116091509,Surface Water,40.21266667,-75.16572222,11/16/2021,9:15:00,EPA 1633,36.0,11.0,0.4,2.0,21.0,10.0,7.0,0.7,1.5,1.6,1.4,1.6,,9.5,3.5,7.1,7.6,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146489520211116101509,Surface Water,40.2165,-75.15980556,11/16/2021,10:15:00,EPA 1633,44.0,11.0,0.4,1.9,34.0,12.0,6.5,0.9,1.7,1.8,1.6,1.8,,13.0,4.9,8.3,9.3,0.9,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.1,0.4,0.4,0.4,,0.4,0.4,0.4,1.8,1.8,1.8,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,01464895520211116103009,Surface Water,40.21725,-75.15705556,11/16/2021,10:30:00,EPA 1633,56.0,13.0,0.5,2.0,48.0,19.0,7.8,1.2,1.7,1.8,1.9,1.8,,18.0,7.4,9.2,8.3,0.9,,,,,,,,0.5,5,0.5,0.5,3,0.5,1.1,0.5,0.5,0.5,,0.5,0.5,0.5,1.8,1.8,1.8,0.5,0.5,,,0.5
Breitmeyer_et_al_2023,01464895520211116103107,Surface Water,40.21725,-75.15705556,11/16/2021,10:31:00,EPA 1633,61.0,13.0,0.5,2.1,47.0,20.0,6.6,1.4,1.8,1.9,2.3,1.9,,19.0,7.2,9.1,11.0,0.9,,,,,,,,0.5,5,0.5,0.5,4,0.5,1.2,0.5,0.5,0.5,,0.5,0.5,0.5,1.9,1.9,1.9,0.5,0.5,,,0.5
Breitmeyer_et_al_2023,0146489920211116111509,Surface Water,40.2195,-75.15163889,11/16/2021,11:15:00,EPA 1633,84.0,15.0,0.4,2.0,61.0,19.0,8.4,1.9,1.6,1.7,6.8,1.7,,22.0,9.4,12.0,12.0,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.7,1.7,1.7,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146490020211116121509,Surface Water,40.22344124,-75.14461681,11/16/2021,12:15:00,EPA 1633,75.0,15.0,0.4,2.0,60.0,17.0,6.8,1.8,1.5,1.6,6.6,1.6,,22.0,9.3,12.0,10.0,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146480020211116121509,Surface Water,40.22510787,-75.14545013,11/16/2021,12:15:00,EPA 1633,4.5,9.3,0.5,1.0,1.8,6.3,3.4,0.5,1.8,1.9,1.7,1.9,,15.0,0.5,6.5,8.0,1.0,,,,,,,,0.5,5,0.5,0.6,4,0.5,1.2,0.5,0.5,0.5,,0.5,0.5,0.5,1.9,1.9,1.9,0.5,0.5,,,0.5
Breitmeyer_et_al_2023,01464901520211116141509,Surface Water,40.22463889,-75.13427778,11/16/2021,14:15:00,EPA 1633,51.0,14.0,0.4,1.9,37.0,17.0,5.7,1.2,1.7,1.8,2.6,1.8,,20.0,5.6,10.0,10.0,0.9,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.1,0.4,0.4,0.4,,0.4,0.4,0.4,1.8,1.8,1.8,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146490520211116144509,Surface Water,40.22455238,-75.13100532,11/16/2021,14:45:00,EPA 1633,63.0,16.0,0.4,1.8,44.0,18.0,7.2,1.5,1.6,1.7,3.2,1.7,,20.0,7.0,10.0,11.0,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.1,0.4,0.4,0.4,,0.4,0.4,0.4,1.7,1.7,1.7,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146490720211116164509,Surface Water,40.22927456,-75.11961605,11/16/2021,16:45:00,EPA 1633,59.0,15.0,0.4,1.8,39.0,16.0,6.3,1.5,1.6,1.6,3.3,1.6,,19.0,6.2,9.9,9.7,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.0,0.4,0.4,0.4,,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146491520211116190009,Surface Water,40.23258333,-75.10186111,11/16/2021,19:00:00,EPA 1633,38.0,14.0,0.5,1.7,26.0,16.0,6.5,0.9,1.7,1.8,1.6,1.8,,18.0,4.5,8.4,10.0,0.9,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.1,0.4,0.4,0.4,,0.4,0.4,0.4,1.8,1.8,1.8,0.4,0.4,,,0.4
Breitmeyer_et_al_2023,0146550020211118133009,Surface Water,40.17399824,-74.95683424,11/18/2021,13:30:00,EPA 1633,10.0,7.9,0.4,1.1,7.8,9.2,3.2,0.4,1.6,1.7,1.5,1.7,,9.5,1.2,5.9,5.3,0.8,,,,,,,,0.4,4,0.4,0.5,3,0.4,1.1,0.4,0.4,0.4,,0.4,0.4,0.4,1.7,1.7,1.7,0.4,0.4,,,0.4
