Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,ALC_0127_001,Surface Water,29.65,-82.346969,,,EPA 1633,9.9,15.9,0,0,1.2,0,18.8,7.9,,,0,,,,,,,,,0,6.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0128_002,Surface Water,29.64840419,-82.341171,,,EPA 1633,5,8.5,0,0,1.4,0,15.2,5.3,,,0,,,,,,,,,0,4,,,,,,,,,,,1.7,,,,,,,,,,,0,,3.9,,0,0,,,,,
Camacho_et_al_2024,ALC_0129_003,Surface Water,29.64726139,-82.344767,,,EPA 1633,6.3,9,0,0,0.6,0,14.5,5.4,,,0,,,,,,,,,0,4.8,,,,,,,,,,,2.4,,,,,,,,,,,0,,2.8,,0,4.6,,,,,
Camacho_et_al_2024,ALC_0130_004,Surface Water,29.64121789,-82.346014,,,EPA 1633,14.4,19.5,2,0,1.9,7.1,26.8,10.5,,,0,,,,,,,,,0,15.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0131_005,Surface Water,29.64249661,-82.344812,,,EPA 1633,14.3,20.4,0,0,1.2,8.6,24.6,10.7,,,0,,,,,,,,,0,18.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0132_006,Surface Water,29.6406,-82.3501,,,EPA 1633,7.4,7.8,0,0,1.1,0,11.9,4.4,,,0,,,,,,,,,0,4.3,,,,,,,,,,,0,,,,,,,,,,,0,,0.4,,0,0,,,,,
Camacho_et_al_2024,ALC_0133_007,Surface Water,29.641006,-82.347555,,,EPA 1633,10.3,12.4,1.5,0,2.6,0,21.9,7.6,,,0,,,,,,,,,0,10.1,,,,,,,,,,,1.2,,,,,,,,,,,0,,0.3,,0,0,,,,,
Camacho_et_al_2024,ALC_0446_008,Surface Water,29.85386111,-82.40511111,,,EPA 1633,4.2,0,0,0,0,0,0,0,,,0,,,,,,,,,0,1.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0564_009,Surface Water,29.51666667,-82.10305556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0565_010,Surface Water,29.50611111,-82.10166667,,,EPA 1633,0,1.5,0,0,0,0,0,0,,,0,,,,,,,,,0,0.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0567_012,Surface Water,29.65944444,-82.12611111,,,EPA 1633,0,1.6,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0568_013,Surface Water,29.495,-82.12944444,,,EPA 1633,0,1.6,0,0,0,0,0,2,,,0,,,,,,,,,0,1.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0714_014,Surface Water,29.56493833,-82.06517778,,,EPA 1633,0,1.8,0,0,0,0,0,0,,,0,,,,,,,,,0,1.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0715_015,Surface Water,29.68774667,-82.20671167,,,EPA 1633,0,1.6,0,0,0,0,0,0,,,0,,,,,,,,,0,2.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0776_017,Surface Water,29.650554,-82.238488,,,EPA 1633,10.5,5.5,1.5,0,2.5,12,8.5,7.6,,,0,,,,,,,,,0,2.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,ALC_0777_018,Surface Water,29.618217,-82.253158,,,EPA 1633,10.3,5.3,0,0,2.4,13,9,8.3,,,0,,,,,,,,,0,3.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
