Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,4/28/2021,,EPA 533,,,2.6,3.1,,,,0.7,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,5/26/2021,,EPA 533,,,2.2,5.3,,0.75,1.7,1.5,2.8,,,,,,,,,,,,3.1,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,9/2/2021,,EPA 533,,,6.3,4.5,,,1.4,1.7,,,,,,,,,,,,,2.3,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,10/22/2021,,EPA 533,,,3.8,5,,,1.5,1.4,2.6,,,,,,,,,,,,3.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,11/22/2021,,EPA 533,,,3.9,5.7,,,4.2,1.2,2.3,,,,,,,,,,,,2.9,,,4.4,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,1,Surface Water,41.42952,-71.56779,2021,12/21/2021,,EPA 533,,,6,5.4,,1.3,1.7,1,2.3,,,,,,,,,,,,2.9,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,5/26/2021,,EPA 533,,,6.8,8.9,,3.2,3.5,1.2,24,8,,,,,,,,,,,18,,,14,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,7/28/2021,,EPA 533,,,3,7.8,,2.4,3,0.87,24,3.3,,,,,,,,,1.5,,12,,,11,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,9/2/2021,,EPA 533,,,3.4,6.1,,1.6,2.4,1.8,9.2,15,,,,,,,,,,,5.1,,,9.2,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,9/8/2021,,EPA 533,,,,3.5,,,1.6,,5.8,14,,,,,,,,,1,,4.3,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,9/8/2021,,EPA 533,,,3.1,6.5,,1.1,1.8,0.89,9.3,,,,,,,,,,0.78,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,10/14/2021,,EPA 533,,,4.3,8.7,,1.6,2.1,1.1,15,,,,,,,,,,1.1,,8.1,,,4.4,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,11/17/2021,,EPA 533,,,2.6,6.8,,1.6,2,0.73,14,,,,,,,,,,0.29,,8.2,,,5.7,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2021,12/20/2021,,EPA 533,,,,5.6,,1.9,2.3,,8.2,13,,,,,,,,,3.3,,4.3,,,5.7,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2022,1/25/2022,,EPA 533,,,,3.7,,0.79,,0.48,6.6,,,,,,,,,,0.21,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,2,Surface Water,41.44756,-71.64271,2022,4/21/2022,,EPA 533,,,3.1,3.2,,0.52,,0.52,11,,,,,,,,,,0.12,,3.3,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,3,Surface Water,41.40642,-71.74828,2021,4/28/2021,,EPA 533,,,,2.1,,0.51,,,4,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,3,Surface Water,41.40642,-71.74828,2021,5/26/2021,,EPA 533,,,4.8,5,,1.8,2.1,1.4,7.8,4.5,,,,,,,,,,,6.5,,,4.9,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,3,Surface Water,41.40642,-71.74828,2021,10/14/2021,,EPA 533,,,3.1,4.3,,0.86,,0.58,12,,,,,,,,,,0.18,,5.6,,,2.8,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,3,Surface Water,41.40642,-71.74828,2021,11/17/2021,,EPA 533,,,,4,,,,0.53,2.4,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,3,Surface Water,41.40642,-71.74828,2021,12/20/2021,,EPA 533,,,,3.6,,,,0.49,,,,,,,,,,,,,1.5,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,
