Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFU0A,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
Forster_et_al_2024,Savannah River,Surface Water,32.287104,-81.1186577,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,1.9,23.4,,0,0,2.3,0,16,0,10.4,0,0,0,,,,,,9,1.4,14,0,,,,,,,,,0,0,,0,0,4,0,0,0,0,0,,0,0,2.7,0,,,,0,,,
Forster_et_al_2024,Captain Bill Creek,Surface Water,32.4807122,-80.9728248,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,2.7,3.4,,0,1.2,7.3,0,1.9,0,5.7,0,0,0,,,,,,3.8,1.8,11.7,0,,,,,,,,,0,0,,0,0,4.2,0,0,0,3.1,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Ashley River,Surface Water,32.8874306,-80.0662931,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,3.9,5.7,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,2.1,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Clouter Creek,Surface Water,32.9037394,-79.9280276,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,5.2,2.5,,0,0,1.4,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,4.5,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Cooper River,Surface Water,32.9671628,-79.9318172,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,1.4,14.8,,0,4.6,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Great Pee Dee River,Surface Water,33.3660134,-79.2853695,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,2.9,32.5,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Myrtle Beach Intracoastal Water Way,Surface Water,33.790726,-78.7700116,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,5.7,12.5,,0,0,3.4,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,North Folk Edisto River,Surface Water,33.4798448,-80.8733729,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,2.9,2.4,,0,2.3,0,0,16.3,0,2.3,0,0,0,,,,,,3.3,2.1,9.5,0,,,,,,,,,0,0,,0,0,3.4,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Waccamaw River,Surface Water,33.9005034,-78.8563943,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,7.3,2.7,,0,1.6,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Pee Dee River,Surface Water,34.0435752,-79.2711486,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,6.2,1.5,,0,1.7,0,0,19,0,18.8,0,0,0,,,,,,3.7,0,98.7,3.1,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,4.8,0,,,,0,,,
