Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Galloway_2020,Crab Creek,Surface Water,38.76207,-82.20162,2016,6/6/2016,8:25 AM,EPA 1633,,,ng/L,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Lakin,Surface Water,38.96797,-82.09248,2016,6/6/2016,10:04 AM,EPA 1633,,,ng/L,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Pomeroy,Surface Water,39.02617,-82.03087,2016,6/6/2016,10:49 AM,EPA 1633,,,ng/L,,12.3,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Brinker Run outflow,Surface Water,38.91,-81.91994,2016,6/6/2016,12:48 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Foam in river,Surface Water,38.90876,-81.92217,2016,6/6/2016,1:04 PM,EPA 1633,,,ng/L,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Letart,Surface Water,38.89235,-81.92825,2016,6/6/2016,2:28 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Lee creek outflow,Surface Water,39.14891,-81.74234,2016,6/6/2016,4:48 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Upstream from Lee Creek,Surface Water,39.1576,-81.74568,2016,6/6/2016,5:21 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Tupper Plains,Surface Water,39.08101,-81.79697,2016,6/8/2016,8:47 AM,EPA 1633,,,ng/L,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Lubeck,Surface Water,39.23388,-81.68987,2016,6/8/2016,11:31 AM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Sawyer Run,Surface Water,39.25474,-81.69424,2016,6/8/2016,12:45 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Sawyer Run (dup.),Surface Water,39.25474,-81.69424,2016,6/8/2016,,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Belpre,Surface Water,39.26714,-81.58015,2016,6/8/2016,2:38 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Vienna Island,Surface Water,39.35587,-81.53681,2016,6/9/2016,8:00 AM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Vienna Island (dup.),Surface Water,39.35587,-81.53681,2016,6/9/2016,,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Marietta,Surface Water,39.3979,-81.47302,2016,6/9/2016,9:17 AM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
