Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Goodrow_et_al_2020,Cohansey,Surface Water,39.417041,-75.23317,2016,,,EPA 537.1,0,,4.3,0,2.3,0,5.4,4.4,,,,,,,5.6,,3.1,2.1,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Echo,Surface Water,41.05072,-74.411516,2016,,,EPA 537.1,0,,4.9,0,0,0,0,14.6,,,,,,,2.7,,2.2,0,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Fenwick,Surface Water,39.579047,-75.459884,2016,,,EPA 537.1,3.1,,10.5,0,6.7,0,25,10.6,,,,,,,17.7,,10,2.9,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Horicon,Surface Water,40.008695,-74.32243,2016,,,EPA 537.1,10,,1.9,0,0,7.3,1.5,1.1,,,,,,,1,,0,0,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Little Pine,Surface Water,39.989643,-74.569568,2016,,,EPA 537.1,100,,25.9,0,2.1,95.9,26,7.8,,,,,,,10,,5.2,6.6,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Metedeconk,Surface Water,40.073831,-74.144155,2016,,,EPA 537.1,2.8,,33.9,0,0,0,5.9,5.5,,,,,,,6.7,,2.7,4.6,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Mirror,Surface Water,39.971195,-74.569972,2016,,,EPA 537.1,72.9,,13.2,0,1,57,14.2,5.8,,,,,,,8.1,,3.6,5.2,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Passaic,Surface Water,40.883793,-74.127131,2016,,,EPA 537.1,13.2,,13,0,0,2.9,10.8,8.2,,,,,,,17.4,,6.6,4.2,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Pine,Surface Water,40.008279,-74.252702,2016,,,EPA 537.1,102,,13.6,0,1.8,24.6,10.4,6.2,,,,,,,6.2,,3.4,2.6,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
Goodrow_et_al_2020,Raritan,Surface Water,40.486965,-74.389158,2016,,,EPA 537.1,6.9,,8.7,0,1.1,4.7,7.9,4.2,,,,,,,7.6,,8.2,0,,,,,,,,,0,,,,,,,0,,,,,,0,,,,
