Article (Author et al YYYY),Sample Name,Approx Mile Marker,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Hansen_et_al_2002,1,337,Surface Water,34.5285,-86.5445,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,4.2672,ng/L,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,2,335,Surface Water,34.5558,-86.5518,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,10.9728,ng/L,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,3,333,Surface Water,34.5782,-86.573,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.096,ng/L,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,4,331,Surface Water,34.5802,-86.6064,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.096,ng/L,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,5,329,Surface Water,34.5619,-86.6327,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,8.5344,ng/L,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,6,327,Surface Water,34.55,-86.6587,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,11.5824,ng/L,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,7,325,Surface Water,34.5706,-86.6749,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,11.8872,ng/L,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,8,323,Surface Water,34.5884,-86.6987,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,12.192,ng/L,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,9,321,Surface Water,34.5781,-86.7275,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.096,ng/L,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,10,319,Surface Water,34.5573,86.7519,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,11.2776,ng/L,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,11,317,Surface Water,34.5509,-86.7837,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.9248,ng/L,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,12,315,Surface Water,34.5547,-86.8183,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.7056,ng/L,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,13,313,Surface Water,34.5628,-86.8515,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.4008,ng/L,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,14,311,Surface Water,34.5745,-86.8838,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.096,ng/L,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,15,309,Surface Water,34.5843,-86.9161,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,5.7912,ng/L,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,16,307,Surface Water,34.5992,-86.946,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.3152,ng/L,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,17,305,Surface Water,34.6131,-86.9738,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.7056,ng/L,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,18,303,Surface Water,34.6303,-86.9995,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,10.0584,ng/L,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
