Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Sampling Depth (m),Streamflow (m3/s),PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G,PFODA
Hayworth_et_al_2022,CT_6*,Surface Water,-85.336281,33.74139,2020,6/27/2020,12:10:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,5.56,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_7,Surface Water,-85.574866,33.30686,2020,6/27/2020,1:40:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,5.91,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_8,Surface Water,-85.898041,32.44973,2020,6/27/2020,4:13:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,5.78,,,,0.00,0.00,,,,,,,7.80,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_9,Surface Water,-86.202964,32.45539,2020,6/27/2020,5:09:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,5.43,,,,0.00,0.00,,,,,,,8.55,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_1A,Surface Water,-86.315984,32.43579,2020,6/27/2020,5:44:00 PM,Unnamed_SPE_LCMS_MS,,,11.04,,18.31,,,,29.88,8.83,,,,,,,34.19,,,52.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_1*,Surface Water,-85.355577,34.24861,2020,6/28/2020,11:35:00 PM,Unnamed_SPE_LCMS_MS,,,20.51,,26.01,,,,35.93,11.91,,,,,,,52.07,,,67.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_2,Surface Water,-85.995171,34.01274,2020,6/28/2020,12:57:00 PM,Unnamed_SPE_LCMS_MS,,,20.36,,30.24,,,,39.31,13.10,,,,,,,54.90,,,79.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_3,Surface Water,-86.026126,33.94254,2020,6/28/2020,1:54:00 PM,Unnamed_SPE_LCMS_MS,,,29.59,,22.39,,,,24.46,11.31,,,,,,,35.59,,,61.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_4,Surface Water,-86.515252,32.95371,2020,6/28/2020,4:17:00 PM,Unnamed_SPE_LCMS_MS,,,18.11,,21.43,,,,22.50,10.44,,,,,,,33.85,,,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CT_5,Surface Water,-86.206968,32.53842,2020,6/28/2020,5:31:00 PM,Unnamed_SPE_LCMS_MS,,,19.55,,19.20,,,,19.48,9.43,,,,,,,29.48,,,45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_1B*,Surface Water,-86.315984,32.43579,2020,7/8/2020,10:30:00 AM,Unnamed_SPE_LCMS_MS,,,12.04,,14.12,,,,13.24,7.55,,,,,,,20.81,,,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_2,Surface Water,-86.408425,32.41137,2020,7/8/2020,11:16:00 AM,Unnamed_SPE_LCMS_MS,,,12.98,,14.78,,,,15.26,7.93,,,,,,,23.49,,,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_3,Surface Water,-86.997498,32.38676,2020,7/8/2020,12:28:00 PM,Unnamed_SPE_LCMS_MS,,,11.42,,15.12,,,,14.21,7.67,,,,,,,22.31,,,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_4,Surface Water,-87.391959,32.11354,2020,7/8/2020,1:47:00 PM,Unnamed_SPE_LCMS_MS,,,10.86,,13.97,,,,14.13,8.18,,,,,,,21.27,,,29.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_5,Surface Water,-87.412779,31.96977,2020,7/8/2020,2:20:00 PM,Unnamed_SPE_LCMS_MS,,,11.99,,14.14,,,,14.02,7.58,,,,,,,22.65,,,29.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_6,Surface Water,-87.516747,31.54806,2020,7/8/2020,3:59:00 PM,Unnamed_SPE_LCMS_MS,,,10.65,,15.30,,,,13.93,7.79,,,,,,,21.13,,,28.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_7,Surface Water,-86.599476,33.62233,2020,7/9/2020,10:43:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,6.37,,,,0.00,0.00,,,,,,,9.47,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_8,Surface Water,-86.714251,33.432234,2020,7/9/2020,11:17:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,5.74,,,,6.64,0.00,,,,,,,13.05,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_9,Surface Water,-86.813929,33.36338,2020,7/9/2020,12:05:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,7.11,,,,7.31,0.00,,,,,,,14.97,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_10,Surface Water,-87.241447,32.66811,2020,7/9/2020,2:12:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,8.65,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,AC_11,Surface Water,-87.100699,32.33574,2020,7/9/2020,3:11:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,8.50,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_1*,Surface Water,-85.18144,32.87525,2020,7/27/2020,9:45:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,6.96,,,,8.99,5.26,,,,,,,14.50,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_2,Surface Water,-85.16551,32.80982,2020,7/27/2020,10:20:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,8.97,,,,10.76,6.22,,,,,,,17.53,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_3,Surface Water,-84.99634,32.47258,2020,7/27/2020,11:37:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,7.86,,,,9.45,5.36,,,,,,,14.98,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_4,Surface Water,-84.97725,32.44418,2020,7/27/2020,11:58:00 AM,Unnamed_SPE_LCMS_MS,,,0.00,,4.33,,,,5.63,0.00,,,,,,,11.80,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_5,Surface Water,-85.00274,32.3466,2020,7/27/2020,12:57:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,6.26,,,,5.35,0.00,,,,,,,10.84,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_6,Surface Water,-85.05576,31.60425,2020,7/27/2020,2:25:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,10.17,,,,4.63,0.00,,,,,,,10.66,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_7,Surface Water,-85.10737,31.25454,2020,7/27/2020,3:19:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,9.28,,,,3.73,0.00,,,,,,,9.72,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CH_8,Surface Water,-85.00608,30.97369,2020,7/27/2020,4:07:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,9.42,,,,3.56,0.00,,,,,,,8.40,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CW_1*,Surface Water,-85.61102,31.34329,2020,8/1/2020,12:50:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayworth_et_al_2022,CW_2,Surface Water,-85.68851,31.23624,2020,8/1/2020,1:20:00 PM,Unnamed_SPE_LCMS_MS,,,0.00,,0.00,,,,0.00,0.00,,,,,,,7.95,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
