Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
MassDEP_2024,Merrimack River,Surface Water,42.654043,-71.399429,2024,5/14/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,2.1,3.53,,,,0.769,2.33,1.26,,,,,,,,,,,2.03,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Boston Harbor (near Deer Island),Surface Water,42.35382,-70.968793,2024,5/16/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.421,0.665,,,,,0.657,0.462,,,,,,,,,,,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Annisquam River,Surface Water,42.61694,-70.67938,2024,5/22/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.604,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Sheomet Lake,Surface Water,42.677404,-72.281102,2024,5/28/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Great Pond,Surface Water,41.54748,-70.58166,2024,5/30/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.453,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Great Pond,Surface Water,41.56528,-70.55321,2024,5/30/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,1.46,0.913,,,,0.978,0.895,0.459,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Johns Pond,Surface Water,41.90693,-70.78649,2024,6/4/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.495,0.988,,,0.446,,0.608,0.662,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Charles River,Surface Water,42.15832,-71.33291,2024,6/6/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,7.26,5.33,,,0.78,2.32,3.88,1.84,,,,,,,,,,,3.69,,2.64,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Pine Creek,Surface Water,42.72199,-70.78569,2024,6/13/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,2.67,3.2,,,0.51,,0.669,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,,,,,,,,,,,,,,,,
MassDEP_2024,Wareham River,Surface Water,41.75023,-70.70621,2024,6/19/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.578,1.15,,,,,0.87,0.411,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Lake Gardner,Surface Water,42.861276,-70.93876,2024,8/6/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,1.28,13.2,,,0.723,0.601,3.78,4.16,,,,,,,,,,,3.47,,1.52,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Spectacle Pond,Surface Water,42.515795,-71.682327,2024,8/12/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,1.45,13.9,,,,0.595,3.73,4.56,,,,,,,,,,,3.59,,1.74,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Plum Island Sound,Surface Water,42.696551,-70.786304,2024,8/14/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.49,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397,,,,,,,
MassDEP_2024,Studleys Pond,Surface Water,42.12022,-70.91797,2024,8/19/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,66.4,32.9,,0.922,3.63,27.7,20.6,13.7,0.74,,,18.6,27.7,,,,,,29.8,1.74,3.72,10.8,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,
MassDEP_2024,Boston Harbor (near Castle Island),Surface Water,42.33942,-71.0109,2024,8/21/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Green River,Surface Water,42.66985,-72.63715,2024,8/28/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607,,,,,,,
MassDEP_2024,Powdermill Brook,Surface Water,42.13733,-72.74038,2024,8/29/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,2.12,3.41,,,,3.37,2.19,0.974,,,,,,,,,,,2.29,,2.36,2.13,,,,,,,,,,,,,,,,,,,,,,,,,0.504,,,,,,,
MassDEP_2024,Marblehead Harbor,Surface Water,42.483731,-70.83914,2024,8/28/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Canoe River,Surface Water,41.9730101,-71.1359348,2024,9/3/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,5.44,5.71,,,0.864,2.3,3.86,1.97,,,,,,,,,,,4.64,,3.3,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Hingham Bay,Surface Water,42.27708,-70.93437,2024,9/9/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Back River,Surface Water,42.04899,-70.65712,2024,9/10/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Cole River,Surface Water,41.72844,-71.22401,2024,9/11/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,0.882,1.06,,,,,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Apponagansett Bay,Surface Water,41.58535,-70.95733,2024,9/16/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Little Harbor,Surface Water,41.72602,-70.67964,2024,9/18/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Megansett Harbor,Surface Water,41.65598,-70.64316,2024,9/19/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Bass River,Surface Water,41.65477,-70.19398,2024,9/24/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Popponesset Bay,Surface Water,41.58396,-70.4543,2024,9/25/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassDEP_2024,Barnstable Harbor,Surface Water,41.7174401,-70.2912689,2024,9/25/2024,,Unnamed_SPE_LCMS_MS,,,ng/L,,,,,,,,,,,,,,,,,,,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
