Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoA,PFTrDA,PFTeDA,PFBS,PFHxS,PFOS,PFOSA,FBSA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFHxDA,PFHxSA,PFNS,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Meyer_et_al_2011,A1,Surface Water,43.78098781,-79.18172236,2010,2/23/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.1,1.7,3.7,1,0.9,0.12,0.029,0,0,0.39,0.54,2.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A2,Surface Water,43.78098781,-79.18172236,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,4.7,1.2,2.4,0.93,0.67,0.19,0.09,0.0063,0,0.28,0.23,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A3,Surface Water,43.78098781,-79.18172236,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,4,1.2,2.4,1.2,1,0.32,0.18,0.021,0,0.42,0.46,2.9,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A4,Surface Water,43.78098781,-79.18172236,2010,2/28/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8,1.6,3.7,1.2,1.2,0.26,0.2,0.015,0,2.8,0.38,3.2,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A5,Surface Water,43.78098781,-79.18172236,2010,3/1/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.8,2.2,4.4,1.6,1.2,0.36,0.28,0.042,0.028,0.4,0.55,4,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A6,Surface Water,43.78098781,-79.18172236,2010,3/1/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8,2.6,5.1,2.2,1.6,0.31,0.16,0.018,0,0.79,0.43,4.4,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A7,Surface Water,43.78098781,-79.18172236,2010,3/2/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,9.8,3.3,6.2,2,1.3,0.23,0.14,0.018,0.13,0.8,0.54,4.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A8,Surface Water,43.78098781,-79.18172236,2010,3/4/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,10,3.4,5.4,1.6,0.83,0.15,0.075,0.0085,0,0.54,0.63,3.3,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A9,Surface Water,43.78098781,-79.18172236,2010,3/7/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8.7,2.8,4.5,1.1,0.53,0.099,0.058,0.014,0,0.71,0.81,4,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A10,Surface Water,43.78098781,-79.18172236,2010,3/8/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,10,3.2,5.3,1.5,0.78,0.13,0.078,0.013,0.02,0.42,0.64,3.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A11,Surface Water,43.78098781,-79.18172236,2010,3/9/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,14,4.4,7.9,2.5,1,0.18,0.11,0.019,0.038,0.8,1,4.8,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A12,Surface Water,43.78098781,-79.18172236,2010,3/10/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,11,3.5,6.9,2,0.89,0.14,0.078,0.0081,0,0.48,0.87,4,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,A13,Surface Water,43.78098781,-79.18172236,2010,3/18/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8.3,2.6,4.7,1,0.42,0.073,0.035,0.0036,0,1.1,1,3.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,B1,Surface Water,43.78165246,-79.21155982,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,5.3,1.3,2.2,1.5,1.2,0.44,0.23,0.036,0.017,0.63,0.24,2.6,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,B2,Surface Water,43.78165246,-79.21155982,2010,2/28/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6,2.1,4.4,1.5,1.1,0.34,0.25,0.047,0.017,0.34,0.58,3.3,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,B3,Surface Water,43.78165246,-79.21155982,2010,3/7/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8.6,2.7,4.4,1.5,0.8,0.14,0.08,0.0073,0,0.53,0.68,3.9,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,B4,Surface Water,43.78165246,-79.21155982,2010,3/18/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,9.4,2.9,4.5,0.97,0.48,0.088,0.043,0.0069,0,1,0.82,3.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,C1,Surface Water,43.75428733,-79.22983179,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.9,1.7,3.5,1.3,0.93,0.29,0.26,0.05,0.05,3.8,0.67,4.2,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,C2,Surface Water,43.75428733,-79.22983179,2010,2/28/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.4,2.2,4.8,1.7,1,0.31,0.35,0.056,0.058,1,0.61,4.6,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,C3,Surface Water,43.75428733,-79.22983179,2010,3/2/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,12,3.8,7.2,1.9,0.72,0.19,0.14,0.026,0.047,0.55,0.78,4.7,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,C4,Surface Water,43.75428733,-79.22983179,2010,3/18/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,13,4.4,7.7,2,0.8,0.16,0.14,0.026,0.037,1.2,1.2,5.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,D1,Surface Water,43.76604834,-79.26354042,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.4,2,4.3,1.6,1.3,0.3,0.32,0.057,0.08,0.67,0.81,3.4,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,D2,Surface Water,43.76604834,-79.26354042,2010,2/28/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,6.5,2.1,4.6,2.2,1.4,0.39,0.48,0.084,0.082,0.47,0.39,3.6,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,D3,Surface Water,43.76604834,-79.26354042,2010,3/2/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,13,4.5,7.6,1.7,0.85,0.084,0.12,0.019,0.023,1.2,1.4,6.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,D4,Surface Water,43.76604834,-79.26354042,2010,3/18/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,13,4.1,6.8,0.8,0.38,0.094,0.14,0.03,0.035,1.6,1.7,6.5,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,E1,Surface Water,43.76853748,-79.14542783,2010,2/27/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,5.7,1.8,3.4,1.6,0.89,0.26,0.18,0.03,0.024,0.34,0.41,2.9,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,E2,Surface Water,43.76853748,-79.14542783,2010,2/28/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,5.7,2,4.6,1.5,1.2,0.39,0.28,0.042,0.027,0.46,0.55,3.6,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meyer_et_al_2011,E3,Surface Water,43.76853748,-79.14542783,2010,3/7/2010,,Unnamed_SPE_LCMS_MS,,,ng/L,8.9,2.9,5.1,1.2,0.69,0.11,0.063,0.008,0,0.44,0.58,3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
