Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,01-AND,Surface Water,44.39806,-70.971596,8/15/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-AND,Surface Water,44.39806,-70.971596,8/15/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-CNT,Surface Water,42.683597,-72.471419,8/21/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-MER,Surface Water,42.675953,-71.421325,8/15/2017,,Undisclosed,2.91,5,,0,0,0,4.66,0,0,,,0,0,,,,,,3.36,,0,2.74,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-MSC,Surface Water,43.633831,-72.317386,8/16/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,2.06,0,,,,,,0,,0,3.96,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-SAC,Surface Water,44.016886,-70.989931,8/15/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,01-SGR,Surface Water,43.398329,-72.393798,8/14/2017,,Undisclosed,0,2.34,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-ASH,Surface Water,42.786069,-72.486456,8/21/2017,,Undisclosed,2.33,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,2.47,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-BBO,Surface Water,43.145299,-71.355228,8/18/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-CLD,Surface Water,43.132131,-72.390389,8/17/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-CTC,Surface Water,43.284928,-71.596644,8/18/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-ISG,Surface Water,43.233476,-70.955424,8/17/2017,,Undisclosed,2.33,10.8,,0,0,2.09,4.46,3.55,0,,,0,0,,,,,,2.8,,0,2.7,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-ISR,Surface Water,44.487925,-71.569608,8/14/2017,,Undisclosed,0,0,,0,0,0,0,0,0,,,0,0,,,,,,0,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
NH_DES,02-SHG,Surface Water,42.860642,-71.493033,8/15/2017,,Undisclosed,2.42,4.42,,0,0,0,3.94,0,0,,,0,0,,,,,,2.07,,0,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
