Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
North_Carolina_DWR_2020,LAKE MICHIE | NEU0061L,Surface Water,36.158,-78.828,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,3.818,2.102,,,,,,,,,,,,,,,,,,,2.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,LITTLE RIVER RESERVOIR | NEU006U,Surface Water,36.11229,-78.87,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,5.897,4.04,,,,,,,,,,,,,,,,,,,5.558,2.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,LAKE BUTNER | NEU007B,Surface Water,36.16902,-78.7722,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,22.104,9.275,,,,2.64,,,,,,,,,,,,,,,,2.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,CORPORATION LAKE | NEU00C1,Surface Water,36.08487,-79.14157,2020,5/26/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,2.176,,,,,,,,,,,,,,,,,,,,2.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,LAKE BEN JOHNSON | NEU00D,Surface Water,36.07111,-79.13089,2020,5/19/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,2.422,,,,,,,,,,,,,,,,,,,,,2.253,,,,,,,,,6.301,2.95,,,2.682,,,4.174,,3.986,11.877,,,,9.967,6.611,,,6.501,,,,,
North_Carolina_DWR_2020,LAKE ROGERS | NEU017A,Surface Water,36.13084,-78.70383,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,3.686,2.288,,,,,,,,,,,,,,,,,,,,2.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,LAKE BENSON | NEU055A4,Surface Water,35.66568,-78.62462,2020,6/3/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,4.201,2.44,,,,,2.699,,,,,,,,,,,,2.414,,2.648,2.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,WIGGINS MILL RESERVOIR | NEU084F,Surface Water,35.688312,-77.94941,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,2.536,,,,,,,,,,,,,,,,,,,,,2.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2020,TOISNOT RESERVOIR | NEU096E,Surface Water,35.74476,-77.90246,2020,5/27/2020,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,2.881,,,,,,,,,,,,,,,,,,,,,2.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2018_CapeFear,LAKE BRANDT | CPF007B,Surface Water,36.17218,-79.83806,2018,7/12/2018,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North_Carolina_DWR_2018_CapeFear,CANE CREEK RESERVOIR | CPFCCR6,Surface Water,35.94966,-79.24123,2018,5/3/2018,,Unnamed_SPE_LCMS_MS,,0.15,ng/L,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
