Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFECHS,PFPrS,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Pan et al 2017,S1,Surface Water,36.72504,117.08301,2015,11/29/2015,1:41:00 PM,Undisclosed,,,ng/L,2.07,17.1,,0.59,0.59,1.32,1.35,1.1,,3.64,,,,,,,,,0.97,,0.99,3.19,,,,,,,,,,0.13,,,,,,,,,0,,,,0,0.11,,4.32,0.01,,,,,,,,,,,
Pan et al 2017,S2,Surface Water,36.91037,117.36152,2015,11/29/2015,3:04:00 PM,Undisclosed,,,ng/L,3.15,15.4,,0.44,0.53,0.45,1.08,0.66,,1.61,,,,,,,,,0.93,,0.88,2.78,,,,,,,,,,0.09,,,,,,,,,0,,,,0,0.05,,11.3,0.02,,,,,,,,,,,
Pan et al 2017,S3,Surface Water,37.06833,117.70097,2015,11/30/2015,4:28:00 PM,Undisclosed,,,ng/L,3.81,30.4,,2.1,1.01,0.84,4.2,1.28,,1.95,,,,,,,,,2.08,,0.98,9.7,,,,,,,,,,0.27,,,,,,,,,0,,,,0,0.2,,15.6,0.02,,,,,,,,,,,
Pan et al 2017,S4,Surface Water,37.06194,117.85625,2015,11/30/2015,8:05:00 AM,Undisclosed,,,ng/L,4.26,75.2,,3.99,4.2,0.46,4.39,3.26,,1.99,,,,,,,,,3.32,,0.73,7.71,,,,,,,,,,0.33,,,,,,,,,0,,,,0,0.12,,8.86,0.02,,,,,,,,,,,
Pan et al 2017,S5,Surface Water,37.07227,117.92063,2015,11/30/2015,8:31:00 AM,Undisclosed,,,ng/L,3.35,55.4,,2.91,2.84,0.46,3.75,2.19,,2.3,,,,,,,,,3.16,,0.79,9.4,,,,,,,,,,0.26,,,,,,,,,0,,,,0,0.1,,5.41,0.01,,,,,,,,,,,
Pan et al 2017,S6,Surface Water,37.08574,118.00153,2015,11/30/2015,9:09:00 AM,Undisclosed,,,ng/L,2.05,78.9,,1.61,1.43,0.31,3.59,1.66,,2.2,,,,,,,,,2.75,,0.71,8.37,,,,,,,,,,0.16,,,,,,,,,0,,,,0,0.04,,3.69,0,,,,,,,,,,,
Pan et al 2017,S7,Surface Water,36.97257,118.04091,2015,11/30/2015,9:40:00 AM,Undisclosed,,,ng/L,2.71,171,,0.56,1.46,0.16,3.77,1.97,,2.34,,,,,,,,,7.11,,0.42,12.7,,,,,,,,,,0.08,,,,,,,,,0,,,,0,0.04,,2.59,0,,,,,,,,,,,
Pan et al 2017,S8,Surface Water,37.00682,118.03743,2015,11/30/2015,9:52:00 AM,Undisclosed,,,ng/L,4.68,197000,,25.7,124,0.27,3690,3470,,1960,,,,,,,,,3370,,1.12,3970,,,,,,,,,,4.9,,,,,,,,,0.44,,,,0.63,1.99,,2.55,0,,,,,,,,,,,
Pan et al 2017,S9,Surface Water,37.04844,118.05121,2015,11/30/2015,10:16:00 AM,Undisclosed,,,ng/L,10.2,158000,,17.3,97.9,0.4,3300,3160,,2060,,,,,,,,,2920,,2.47,3280,,,,,,,,,,3.72,,,,,,,,,0.26,,,,0.45,1.49,,1.52,0,,,,,,,,,,,
Pan et al 2017,S10,Surface Water,37.0917,118.04803,2015,11/30/2015,10:25:00 AM,Undisclosed,,,ng/L,4.43,136000,,22.4,115,0.26,3140,2600,,1750,,,,,,,,,2750,,1.76,3190,,,,,,,,,,3.97,,,,,,,,,0.24,,,,0.35,1.91,,9.59,0,,,,,,,,,,,
Pan et al 2017,S11,Surface Water,37.11093,118.09406,2015,11/30/2015,10:40:00 AM,Undisclosed,,,ng/L,2.66,59500,,7.05,36.2,0.14,1290,1100,,960,,,,,,,,,1210,,1.01,1390,,,,,,,,,,1.39,,,,,,,,,0.09,,,,0.18,0.62,,2.065,0,,,,,,,,,,,
Pan et al 2017,S12,Surface Water,37.12842,118.26309,2015,11/30/2015,11:22:00 AM,Undisclosed,,,ng/L,3.67,23300,,4.65,15,0.29,524,280,,410,,,,,,,,,403,,1.08,463,,,,,,,,,,0.67,,,,,,,,,0,,,,0,0.29,,5.95,0,,,,,,,,,,,
Pan et al 2017,S13,Surface Water,37.14063,118.30893,2015,11/30/2015,11:46:00 AM,Undisclosed,,,ng/L,6.24,23000,,5.21,15.7,0.57,497,301,,327,,,,,,,,,385,,0.94,407,,,,,,,,,,0.69,,,,,,,,,0,,,,0,0.33,,2.31,0,,,,,,,,,,,
Pan et al 2017,S14,Surface Water,37.12505,118.31264,2015,11/30/2015,3:20:00 PM,Undisclosed,,,ng/L,3.93,20500,,4.57,13.3,0.31,475,330,,198,,,,,,,,,426,,1.51,464,,,,,,,,,,0.52,,,,,,,,,0,,,,0,0.2,,5.29,0,,,,,,,,,,,
Pan et al 2017,S15,Surface Water,37.14834,118.35409,2015,11/30/2015,3:55:00 PM,Undisclosed,,,ng/L,3.65,21100,,5.06,15.2,0.31,497,291,,417,,,,,,,,,417,,1.08,467,,,,,,,,,,0.59,,,,,,,,,0,,,,0.14,0.19,,9.22,0,,,,,,,,,,,
Pan et al 2017,S16,Surface Water,37.14123,118.39309,2015,11/30/2015,4:20:00 PM,Undisclosed,,,ng/L,3.91,25400,,5.31,18.2,0.51,561,334,,294,,,,,,,,,483,,1.2,532,,,,,,,,,,0.63,,,,,,,,,0,,,,0.15,0.31,,6.13,0,,,,,,,,,,,
Pan et al 2017,S17,Surface Water,37.18997,118.55746,2015,12/1/2015,9:32:00 AM,Undisclosed,,,ng/L,4.72,23100,,5.71,17.3,0.3,443,303,,120,,,,,,,,,332,,1.05,369,,,,,,,,,,0.67,,,,,,,,,0,,,,0.29,0.39,,5.67,0.05,,,,,,,,,,,
Pan et al 2017,S18,Surface Water,37.27456,118.83181,2015,12/1/2015,11:17:00 AM,Undisclosed,,,ng/L,4.68,25600,,4.89,15.9,0.39,343,598,,118,,,,,,,,,235,,1.14,273,,,,,,,,,,0.54,,,,,,,,,0,,,,0,0.2,,5.97,0,,,,,,,,,,,
