Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
Penland_et_al_2020,801,Surface Water,35.83829,-80.48475,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/L,2.35,3.71,,1.86,1.01,1.21,2.18,3.96,,,,,,,,,,,1.16,,0.51,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Red Hill,Surface Water,35.08722,-79.99861,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/L,3,4.43,,1.71,0.87,1.17,2.49,2.79,,,,,,,,,,,1.71,,0.76,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Digg's Tract,Surface Water,34.86528,-79.87917,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/L,3.31,4.66,,2.56,1.63,1.26,2.96,3.74,,,,,,,,,,,1.13,,1.1,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Society Hill,Surface Water,34.52412,-79.83271,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/L,3.82,4.6,,1.51,0.77,1.24,2.96,3.84,,,,,,,,,,,1.24,,1.58,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Pee Dee,Surface Water,34.20385,-79.54768,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/L,4.34,8.07,,2.22,1.52,1.68,4.37,5.79,,,,,,,,,,,1.93,,2.45,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,801,Sediment or Soil,35.83829,-80.48475,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/g,0.56,0.07,,,0,0,0,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Red Hill,Sediment or Soil,35.08722,-79.99861,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/g,0.62,0.22,,,0,0,0,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Digg's Tract,Sediment or Soil,34.86528,-79.87917,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/g,0,0,,,0,0,0,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Society Hill,Sediment or Soil,34.52412,-79.83271,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/g,0.05,0,,,0,0,0,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penland_et_al_2020,Pee Dee,Sediment or Soil,34.20385,-79.54768,2016,2/26/2016,,Unnamed_SPE_LCMS_MS,,,ng/g,0.1,0,,,0,0,0,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
