Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Sampling Depth (m),Streamflow (m3/s),PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G,PFODA
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/12/2018,,Unnamed_SPE_LCMS_MS,,,17.8,,9.08,1.43,2.28,7.55,22.3,12.5,0,16.9,0,0,0,0,27.8,1.33,10.7,5.44,4.47,7.29,14.3,13.4,10.9,3.41,0,1.7,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/14/2018,,Unnamed_SPE_LCMS_MS,,,17.7,,10.5,1.57,2.18,7.05,22.9,13.6,0,15.5,0,0,0,0,29,1.1,11.7,4.98,,2.83,51.5,43.9,43.4,14.6,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/15/2018,,Unnamed_SPE_LCMS_MS,,,16.2,,12.1,1.7,2.53,6.43,28.9,17.9,0,18.8,0,0,0,0,32,1.21,12.2,4.77,5.14,5.37,26.3,25.5,22.4,5.84,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/16/2018,,Unnamed_SPE_LCMS_MS,,,13.5,,8.81,1.44,1.64,5.63,23.5,15.1,0,15.2,0,0,0,0,24.2,0.833,9.04,4.37,,9.7,33.4,28.1,28,8.67,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/17/2018,,Unnamed_SPE_LCMS_MS,,,9.7,,5.54,1.07,0.831,3.71,14.2,9.27,0,33.8,0,0,0,0,15.3,0.602,6.59,2.54,7.61,13.8,13.9,11.2,7.35,3.19,1.33,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/18/2018,,Unnamed_SPE_LCMS_MS,,,7.83,,4.41,0.683,0,2.87,9.8,6.48,0,18.6,0,0,0,0,9.85,0,5.8,1.96,,0,10.6,9.06,5.66,2.32,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/19/2018,,Unnamed_SPE_LCMS_MS,,,6.45,,3.35,0,0.777,2.59,5.2,2.97,0,17.6,0,0,0,0,5.48,0,4.73,1.52,,0,9.9,6.94,4.43,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/20/2018,,Unnamed_SPE_LCMS_MS,,,7.03,,3.34,0.693,0.824,2.62,5.17,2.99,0,18.9,0,0,0,0,5.55,0,5.1,1.69,,0,10.2,8.44,5.14,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/21/2018,,Unnamed_SPE_LCMS_MS,,,7.4,,3.2,0.736,0.999,3.27,5.14,3,0,12.6,0,0,0,0,5.46,0,5.08,1.99,10.2,0,10.7,7.05,5.28,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/22/2018,,Unnamed_SPE_LCMS_MS,,,8,,3.23,0,0.973,1.66,3.83,2.48,0,8.44,0,0,0,0,4.03,0,4.86,1.5,,0,6.82,6.89,5.9,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/23/2018,,Unnamed_SPE_LCMS_MS,,,6.4,,3.23,0,0.996,2.16,2.49,1.73,0,5.11,0,0,0,0,3.69,0,4.12,1.43,,0,5.73,4.59,3.22,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/24/2018,,Unnamed_SPE_LCMS_MS,,,7.3,,3.39,0,0.914,2.07,4.05,2.06,0,6.32,0,0,0,0,4.2,0,5.39,1.73,,8.71,4.05,4.96,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/25/2018,,Unnamed_SPE_LCMS_MS,,,7.15,,3.38,0,1.07,1.97,5.32,2.1,0,8.54,0,0,0,0,8.08,0,6.79,1.53,3.35,0,6.7,6.31,3.63,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/26/2018,,Unnamed_SPE_LCMS_MS,,,7.47,,4.28,0,1.03,1.97,7.1,3.37,0,15.9,0,0,0,0,16.1,0,10.3,1.79,8.6,24.8,13.7,13.4,7.87,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/27/2018,,Unnamed_SPE_LCMS_MS,,,7.6,,3.95,0,0.926,2.36,3.84,2.56,0,17.5,0,0,0,0,7.3,0,6.93,1.75,2.12,21,16,12.6,5.14,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/28/2018,,Unnamed_SPE_LCMS_MS,,,10.4,,6.12,0,0.744,3.96,5.68,3,0,27.7,0,0,0,0,9.15,0.787,10.2,2.43,12.2,0,21.2,18.9,9.97,3.95,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/29/2018,,Unnamed_SPE_LCMS_MS,,,10.6,,6.13,0,1.02,4.29,6.33,3.34,0,25.1,0,0,0,0,6.82,0,9.95,2.74,9.19,9.31,17.5,18.6,8.66,3.46,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,9/30/2018,,Unnamed_SPE_LCMS_MS,,,14.6,,6.14,0.966,1.4,4.81,8.74,5.36,0,12.4,0,0,0,0,8.08,0.936,7.49,2.64,5.32,14.3,7.53,9.26,4.6,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,10/1/2018,,Unnamed_SPE_LCMS_MS,,,16,,7.05,1.15,1.68,4.34,13.6,7.63,0,10.3,0,0,0,0,9.11,0.661,7.35,2.82,4.82,10.3,8.03,7.05,4.37,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,10/2/2018,,Unnamed_SPE_LCMS_MS,,,14.2,,7.17,1.08,1.39,4.25,13.7,7.95,0,9.79,0,0,0,0,13.6,0.657,9.1,2.85,5.32,17.1,7.02,4.93,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,10/3/2018,,Unnamed_SPE_LCMS_MS,,,14.9,,6.96,1.37,1.55,3.89,13,9.66,0,11.7,0,0,0,0,13.2,0.596,10.1,2.89,4.81,17.3,7.19,4.93,3.66,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,10/4/2018,,Unnamed_SPE_LCMS_MS,,,14.7,,8.17,1.46,1.76,4.25,15.4,9.95,0,10.4,0,0,0,0,15.4,0.639,9.97,3.31,4.15,21.7,6.83,5.45,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Petre_et_al_2022,Kings_bluff,Surface Water,34.404965,-78.293536,,10/5/2018,,Unnamed_SPE_LCMS_MS,,,14.8,,7.43,1.33,1.81,3.75,15.2,10,0,11,0,0,0,0,14.7,0.637,10.2,2.61,4.59,25.3,8.27,4.23,3.77,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
