Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxS,PFOA,PFOS,PFBA,PFBS,PFHpA,PFHpS,PFHxA,PFPeA,PFPeS,FBSA,PFDA,PFNA,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,18.2,6.16,35.6,5.32,6.4,,,11.2,8.24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,17,5.64,21.9,5.52,7.88,,,10.6,9.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,21.7,5.76,35.8,5.52,8,,0,10.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,21,7.96,22.04,7.52,8.92,,,13.2,11.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,16.8,5.16,16.84,4.8,6.52,,,8.96,6.64,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,17.2,5.4,7.6,5.16,5.72,,0,8.48,7.36,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,12.9,6.72,9.36,,8.52,2,0,9.92,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,12.5,6.96,9.42,,7.52,2.1,0,10.6,9.48,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,2.3,6.44,0,,7,,0,8.68,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,2.6,5.64,0,,6.88,,0,8.56,8.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,2.8,1.7,0,,5.16,,0,2.2,2.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,7/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3.7,1.9,7.18,,5.6,,0,1.8,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,7/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,7.88,7.08,15.54,,5.88,2.3,0,8.16,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,7/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.04,5.44,3.4,,7.12,,0,7.56,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3,3.5,0,,3,,0,6.96,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3.2,3.9,0,,4.32,,0,7.64,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.24,6.88,8.4,,8.64,,0,8.16,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3.6,6.52,2.5,,8.64,,0,7.48,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,7.48,4.84,18.94,1.8,10.4,3.1,0,11.8,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,7.68,6.68,14.28,1.7,10.2,3.2,0,11.7,14.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.56,6.2,13.68,1.8,10.6,,0,5.28,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.52,3.4,13.72,2,11.1,,0,5.16,6.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,29.32,12,23.84,3.3,18.4,7.08,0,22.6,20.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.72,11.3,31.5,3.4,18.2,6.92,0,22.9,20,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,21.8,19.9,33.6,2.4,16.1,12.8,0,18.5,15.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,23.9,9.7,24.6,2.7,16,12.7,0,18.4,15.6,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,29.32,11.9,34.7,3.2,19.6,7.6,0,21,18.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
