Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Scott_et_al_2009,Montague R.,Surface Water,46.149722,-62.696944,2006,,,Unnamed_SPE_LCMS_MS,,0.696,0.149,,0.005,0.036,0.059,0.05,0.03,<0.002,,,,,,,,,,,,0.04,,,,,,,,,,,0.026,,,,,,,,,<0.004,,,,<0.008,0.015,,,,,,,
Scott_et_al_2009,Wilmot R.,Surface Water,46.390556,-63.658611,2006,,,Unnamed_SPE_LCMS_MS,,1.26,0.176,,0.038,0.084,0.097,0.123,0.106,0.01,,,,,,,,,,,,0.058,,,,,,,,,,,0.04,,,,,,,,,0.023,,,,0.013,0.006,,,,,,,
Scott_et_al_2009,West R.,Surface Water,46.230833,-63.351389,2006,,,Unnamed_SPE_LCMS_MS,,0.634,0.167,,0.164,0.17,0.039,0.033,0.094,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,0.224,,,,,,,,,<0.004,,,,0.061,<0.008,,,,,,,
Scott_et_al_2009,Richelieu R.,Surface Water,46.044722,-73.119444,2006,,,Unnamed_SPE_LCMS_MS,,2.158,4.32,,0.109,0.57,0.542,0.698,0.922,0.007,,,,,,,,,,,,0.216,,,,,,,,,,,0.038,,,,,,,,,<0.004,,,,<0.008,0.034,,,,,,,
Scott_et_al_2009,Ottawa R.,Surface Water,45.569444,-74.383056,2006,,,Unnamed_SPE_LCMS_MS,,0.767,0.786,,0.073,0.464,0.089,0.416,0.535,<0.002,,,,,,,,,,,,0.09,,,,,,,,,,,0.038,,,,,,,,,<0.004,,,,0.001,0.011,,,,,,,
Scott_et_al_2009,Saint Maurice R.,Surface Water,46.365278,-72.553611,2006,,,Unnamed_SPE_LCMS_MS,,0.356,0.542,,0.073,0.493,0.036,0.211,0.37,0.006,,,,,,,,,,,,<0.006,,,,,,,,,,,0.049,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,St. L.R. at Lavaltrie,Surface Water,45.882778,-73.260278,2006,,,Unnamed_SPE_LCMS_MS,,4.35,1.61,,0.153,0.522,0.722,1.2,2.03,0.009,,,,,,,,,,,,0.398,,,,,,,,,,,0.045,,,,,,,,,<0.004,,,,0.009,0.054,,,,,,,
Scott_et_al_2009,St. L.R. Bcancour,Surface Water,46.375,-72.449167,2006,,,Unnamed_SPE_LCMS_MS,,7.819,5.46,,0.169,0.869,0.831,1.75,1.91,<0.002,,,,,,,,,,,,0.179,,,,,,,,,,,0.039,,,,,,,,,<0.004,,,,<0.008,0.083,,,,,,,
Scott_et_al_2009,St. L.R. at Quebec,Surface Water,46.818056,-71.193611,2006,,,Unnamed_SPE_LCMS_MS,,6.97,4.02,,0.146,0.769,0.727,1.2,1.41,0.069,,,,,,,,,,,,0.16,,,,,,,,,,,0.033,,,,,,,,,<0.004,,,,<0.008,0.069,,,,,,,
Scott_et_al_2009,Trent R.,Surface Water,44.123333,-77.59,2001,,,Unnamed_SPE_LCMS_MS,,,5.5,,<0.01,1.3,,2.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,<0.01,,,,,,,,,,,,,<0.01,,,,,,,,
Scott_et_al_2009,Don R.,Surface Water,43.653889,-79.349722,2001,,,Unnamed_SPE_LCMS_MS,,,9.9,,<0.01,2.2,,8.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,<0.01,,,,,,,,,,,,,<0.01,,,,,,,,
Scott_et_al_2009,Welland R.,Surface Water,43.06,-79.050556,2001,,,Unnamed_SPE_LCMS_MS,,,5.4,,<0.01,1.4,,2.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,<0.01,,,,,,,,,,,,,<0.01,,,,,,,,
Scott_et_al_2009,Niagara R.,Surface Water,43.253611,-79.057222,2007,,,Unnamed_SPE_LCMS_MS,,2.23,2.24,,0.082,0.396,0.775,0.538,0.538,0.044,,,,,,,,,,,,0.337,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.487,,,,,,,
Scott_et_al_2009,Grand R.,Surface Water,42.866944,-79.574722,2005,,,Unnamed_SPE_LCMS_MS,,3.79,3.92,,0.111,0.66,1.287,2.69,1.56,0.033,,,,,,,,,,,,0.712,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.176,,,,,,,
Scott_et_al_2009,Stoney Ck.,Surface Water,42.830833,-79.928333,2005,,,Unnamed_SPE_LCMS_MS,,4.96,3.97,,<0.006,0.367,1.507,2.47,2.029,0.122,,,,,,,,,,,,0.221,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.079,,,,,,,
Scott_et_al_2009,Sandusky Ck.,Surface Water,42.807778,-80.0525,2005,,,Unnamed_SPE_LCMS_MS,,34.6,7.99,,0.155,0.812,14.9,5.93,3.73,0.974,,,,,,,,,,,,2.693,,,,,,,,,,,<0.007,,,,,,,,,2.693,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Big Ck.,Surface Water,42.6025,-80.503611,2005,,,Unnamed_SPE_LCMS_MS,,0.278,0.112,,<0.006,0.055,0.213,0.276,0.178,<0.002,,,,,,,,,,,,0.035,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Big Otter Ck.,Surface Water,42.649444,-80.805278,2005,,,Unnamed_SPE_LCMS_MS,,0.679,0.691,,0.077,0.125,0.461,0.518,0.019,<0.002,,,,,,,,,,,,0.05,,,,,,,,,,,0.004,,,,,,,,,0.518,,,,<0.008,0.031,,,,,,,
Scott_et_al_2009,Talbot Ck.,Surface Water,42.673611,-81.216111,2005,,,Unnamed_SPE_LCMS_MS,,1.595,2.86,,0.049,0.672,0.463,1.45,1.12,<0.002,,,,,,,,,,,,0.073,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.025,,,,,,,
Scott_et_al_2009,Sixteen Mile Ck.,Surface Water,42.5075,-81.621111,2005,,,Unnamed_SPE_LCMS_MS,,3.07,3.35,,0.105,0.624,1.78,2.67,1.33,<0.002,,,,,,,,,,,,0.196,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.087,,,,,,,
Scott_et_al_2009,Flat Ck.,Surface Water,42.2957031,-81.913611,2005,,,Unnamed_SPE_LCMS_MS,,1.42,0.628,,0.012,0.143,0.114,0.049,1.35,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.029,,,,,,,
Scott_et_al_2009,East Two Ck.,Surface Water,42.091944,-82.458056,2005,,,Unnamed_SPE_LCMS_MS,,5.28,2.49,,0.248,0.602,1.31,1.78,1.16,0.134,,,,,,,,,,,,0.147,,,,,,,,,,,0.086,,,,,,,,,0.015,,,,<0.008,0.066,,,,,,,
Scott_et_al_2009,Dolson Ck.,Surface Water,42.005,-82.84,2005,,,Unnamed_SPE_LCMS_MS,,1.035,0.16,,0.015,0.053,0.313,0.193,0.451,<0.002,,,,,,,,,,,,0.036,,,,,,,,,,,<0.007,,,,,,,,,0.023,,,,0.014,<0.008,,,,,,,
Scott_et_al_2009,Detroit R.,Surface Water,42.103056,-83.109167,2004,,,Unnamed_SPE_LCMS_MS,,1.92,2.11,,<0.006,<0.008,0.213,<0.012,<0.011,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,0.09,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Montreal R.,Surface Water,47.213889,-84.620556,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.476,,0.038,0.346,<0.008,0.089,0.243,<0.002,,,,,,,,,,,,0.016,,,,,,,,,,,0.013,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
