Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Sharma_et_al_2016,UKU,Surface Water,30.75277778,78.45388889,4/4/2014,,Unnamed_SPE+LCMS/MS,0,0.08,0.04,0,0,0.37,0.41,0,,,,,,,,0,6.78,,,,,,,,,,,,,,,,0,0.02,,,,0,0,,,,
Sharma_et_al_2016,UKD,Surface Water,30.72638889,78.43000000,4/5/2014,,Unnamed_SPE+LCMS/MS,0.02,0.39,0.06,0,0,2.81,1.48,0,,,,,,,,0,9.4,,,,,,,,,,,,,,,,0,0.11,,,,0,0,,,,
Sharma_et_al_2016,DBG,Surface Water,30.19000000,78.58500000,3/26/2014,,Unnamed_SPE+LCMS/MS,0,0.38,0.03,0.06,0,2.18,1.2,0,,,,,,,,0,1.8,,,,,,,,,,,,,,,,0,0.05,,,,0,0,,,,
Sharma_et_al_2016,DAK,Surface Water,30.19388889,78.64472222,3/27/2014,,Unnamed_SPE+LCMS/MS,0.08,0.43,0.06,0.04,0,3.15,1.77,0,,,,,,,,0,1.58,,,,,,,,,,,,,,,,0.03,0.01,,,,0,0.02,,,,
Sharma_et_al_2016,DGR,Surface Water,30.11750000,78.58666667,3/28/2014,,Unnamed_SPE+LCMS/MS,0.03,0.2,0.04,0,0,1.28,0.95,0,,,,,,,,0,0.52,,,,,,,,,,,,,,,,0,0.02,,,,0,0.01,,,,
Sharma_et_al_2016,KU,Surface Water,26.61722222,80.27527778,2/23/2014,,Unnamed_SPE+LCMS/MS,0.53,0.22,0.03,0.05,0,1.17,0.72,0.01,,,,,,,,0,8.61,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,
Sharma_et_al_2016,KD,Surface Water,26.42805556,80.41472222,2/24/2014,,Unnamed_SPE+LCMS/MS,1.08,0.85,0.06,0.09,0,4.36,3.27,0,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0.04,,,,0,0,,,,
Sharma_et_al_2016,VU,Surface Water,25.13222222,82.87666667,2/27/2014,,Unnamed_SPE+LCMS/MS,0.7,0.21,0,0.05,0.3,0.86,0.61,0,,,,,,,,0,0,,,,,,,,,,,,,,,,0.04,0.05,,,,0.03,0,,,,
Sharma_et_al_2016,VD,Surface Water,25.32277778,83.03388889,2/28/2014,,Unnamed_SPE+LCMS/MS,1.73,0.37,0.19,0.19,0,2.92,1.75,0.04,,,,,,,,0,0,,,,,,,,,,,,,,,,0.04,0.04,,,,0.02,0.06,,,,
Sharma_et_al_2016,PU,Surface Water,25.66888889,84.97138889,2/17/2014,,Unnamed_SPE+LCMS/MS,0.76,0.38,0.15,0.13,0,2.68,0.69,0.01,,,,,,,,0,0,,,,,,,,,,,,,,,,0.04,0.05,,,,0.02,0.06,,,,
Sharma_et_al_2016,PD,Surface Water,25.61472222,85.20388889,2/18/2014,,Unnamed_SPE+LCMS/MS,0.63,1.18,0.1,0.1,0,4.73,1.94,0,,,,,,,,0,0,,,,,,,,,,,,,,,,0.05,0.03,,,,0.02,0.02,,,,
Sharma_et_al_2016,FU,Surface Water,24.80583333,87.92666667,3/6/2014,,Unnamed_SPE+LCMS/MS,0.14,0.09,0.03,0.03,0.03,0.64,0.34,0,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0.01,,,,0,0,,,,
Sharma_et_al_2016,FD,Surface Water,24.67611111,87.96666667,3/7/2014,,Unnamed_SPE+LCMS/MS,0.22,0.3,0.04,0.03,0.05,2.03,1.82,0.01,,,,,,,,0,0,,,,,,,,,,,,,,,,0,0,,,,0,0.01,,,,
Sharma_et_al_2016,GS,Surface Water,21.66388889,88.02916667,3/10/2014,,Unnamed_SPE+LCMS/MS,0.16,0.56,0.06,0.07,0.1,3.35,1.39,0,,,,,,,,1,10.19,,,,,,,,,,,,,,,,0.03,0,,,,0.02,0.01,,,,
