Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Sims_et_al_2025,Boise_1,Surface Water,43.62912900,-116.23496100,11/5/2022,2:10:00 PM,EPA 8327,8.74,0,5.67,14.4,11.41,,,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_2,Surface Water,43.63674600,-116.24320800,11/5/2022,1:55:00 PM,EPA 8327,13.91,0,2.9,15.19,14.43,,,18.29,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_3,Surface Water,43.62603700,-116.23483000,11/5/2022,2:21:00 PM,EPA 8327,9.62,0,16,18.87,21.2,,,19.31,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_4,Surface Water,43.64057500,-116.24698800,11/5/2022,2:48:00 PM,EPA 8327,8.39,0,4.52,14.35,14.28,,,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_5,Surface Water,43.64680400,-116.25750700,11/5/2022,3:04:00 PM,EPA 8327,10.37,0,17.66,16.24,16.75,,,15.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_6,Surface Water,43.64692900,-116.25851600,11/5/2022,3:12:00 PM,EPA 8327,8.78,0,1.16,5.96,8.3,,,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_7,Surface Water,43.64903500,-116.26199600,11/5/2022,3:23:00 PM,EPA 8327,5.16,0,0,1.87,15.21,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_8,Surface Water,43.64990700,-116.26191100,11/5/2022,3:30:00 PM,EPA 8327,10.38,0,10.3,21.7,7.94,,,27.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_9,Surface Water,43.65189300,-116.26433000,11/5/2022,3:41:00 PM,EPA 8327,8.09,0,9.65,8.65,12,,,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Boise_10,Surface Water,43.64066200,-116.24814100,11/5/2022,3:56:00 PM,EPA 8327,33.15,0,8.9,25.57,12.57,,,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_1,Surface Water,39.158074,-119.70601700,11/17/2022,,EPA 8327,18.37,0,0.88,1.8,5.96,,,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_2,Surface Water,39.164089,-119.70572300,11/17/2022,,EPA 8327,19.01,0,0.34,2.24,5.59,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_3,Surface Water,39.170791,-119.70678400,11/17/2022,,EPA 8327,27.15,0,3.77,4.92,5.98,,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_4,Surface Water,39.171582,-119.70653300,11/17/2022,,EPA 8327,27.31,0,0.25,7.71,8.81,,,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_5,Surface Water,39.18,-119.70794500,11/17/2022,,EPA 8327,34.49,0,0.23,9.52,4.2,,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_6,Surface Water,39.180299,-119.70898700,11/17/2022,,EPA 8327,31.58,0,0.19,2.02,6.78,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_7,Surface Water,39.182342,-119.70517900,11/17/2022,,EPA 8327,38.74,0,0,3.06,10.39,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_8,Surface Water,39.181294,-119.69456900,11/17/2022,,EPA 8327,25.61,0,3.39,3.79,9.37,,,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_9,Surface Water,39.181082,-119.68756400,11/17/2022,,EPA 8327,22.78,0,3.92,7.63,9.67,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Carson_10,Surface Water,39.177443,-119.68806500,11/17/2022,,EPA 8327,21.03,0,5,18.53,9.85,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_1,Surface Water,46.8764824,-114.02233430,11/8/2023,,EPA 8327,8.67,0,0,1.96,3.81,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_2,Surface Water,46.8811312,-114.02795420,11/8/2023,,EPA 8327,9.04,0,12.99,2.11,4.78,,,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_3,Surface Water,46.8823064,-114.03115780,11/8/2023,,EPA 8327,8.95,0,14.78,3.24,5.26,,,21.58,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_4,Surface Water,46.8785985,-114.04029800,11/8/2023,,EPA 8327,9.01,0,9.68,1.36,4.49,,,15.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_5,Surface Water,46.8780312,-114.04059610,11/8/2023,,EPA 8327,10.86,0,27.71,1.94,4.75,,,39.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_6,Surface Water,46.8771459,-114.04143390,11/8/2023,,EPA 8327,11.47,0,16.89,5.68,2.52,,,38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_7,Surface Water,46.8742886,-114.04409840,11/8/2023,,EPA 8327,10.06,0,26.26,5.7,9.04,,,35.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_8,Surface Water,46.8734371,-114.04563640,11/8/2023,,EPA 8327,8.88,0,11.67,5.72,3.88,,,16.38,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_9,Surface Water,46.8710961,-114.04898750,11/8/2023,,EPA 8327,6.79,0,19.07,4.54,5.75,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,ClarkFork_10,Surface Water,46.8714412,-114.05089620,11/8/2023,,EPA 8327,3.11,0,6.68,6.83,5.54,,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_1,Surface Water,39.101269,-108.64441100,11/8/2022,11:16:00 AM,EPA 8327,0,0,11.62,14.16,7.17,,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_2,Surface Water,39.099797,-108.65112800,11/8/2022,11:25:00 AM,EPA 8327,0,0,18.52,10.85,9.29,,,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_3,Surface Water,39.107097,-108.65756100,11/8/2022,11:37:00 AM,EPA 8327,0,0,4.93,2.96,5.18,,,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_4,Surface Water,39.109231,-108.66128100,11/8/2022,11:58:00 AM,EPA 8327,0,0,28.06,9.07,6.27,,,33.65,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_5,Surface Water,39.113722,-108.66474400,11/8/2022,12:10:00 PM,EPA 8327,0,0,13.29,8.99,3.96,,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_6,Surface Water,39.118089,-108.67316900,11/8/2022,12:25:00 PM,EPA 8327,6.12,0,33,29.32,6.33,,,35.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_7,Surface Water,39.122936,-108.67965300,11/8/2022,12:41:00 PM,EPA 8327,0,0,19.39,19.02,5.48,,,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_8,Surface Water,39.124342,-108.68949700,11/8/2022,12:52:00 PM,EPA 8327,2.99,0,27.45,20.06,6.36,,,34.19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_9,Surface Water,39.116475,-108.69404400,11/8/2022,1:05:00 PM,EPA 8327,0,0,25.43,27.19,8.95,,,28.18,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Grand_Junction)_10,Surface Water,39.123917,-108.70610300,11/8/2022,1:36:00 PM,EPA 8327,0,0,20.53,20.69,11.86,,,37.63,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Nelson)_1,Surface Water,35.707669,-114.70761900,1/21/2023,,EPA 8327,0,0,35.24,0,0,,,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Colarado(Nelson)_2,Surface Water,35.707897,-114.70751100,1/21/2023,,EPA 8327,0,0,65.69,0,0,,,35.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
