Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,Rivire la Tortue Delson,Surface Water,45.3922,-73.5381,2018,,,Unnamed_SPE_LCMS_MS,,,0.97,1.35,0.07,0.09,0.34,0.26,2.32,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.66,0.05,0.64,4.72,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Batiscan Sainte-Genevive-de-Batiscan,Surface Water,46.5288,-72.3335,2018,,,Unnamed_SPE_LCMS_MS,,,0.14,0.26,0.00,0.00,0.13,0.00,0.14,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.14,0.00,0.05,0.52,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Bayonne Sainte-Genevive-de-Berthier,Surface Water,46.0945,-73.226,2018,,,Unnamed_SPE_LCMS_MS,,,0.56,0.81,0.04,0.07,1.49,0.15,1.06,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.94,0.02,0.32,1.26,0.00,0.00,,,,,,,0.00,0.18,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Bcancour Bcancour,Surface Water,46.352672,-72.438619,2018,,,Unnamed_SPE_LCMS_MS,,,0.33,0.97,0.03,0.04,0.22,0.09,0.97,0.67,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,,0.82,0.02,0.24,1.35,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Boyer Saint-Vallier,Surface Water,46.884275,-70.859119,2018,,,Unnamed_SPE_LCMS_MS,,,2.18,1.62,0.05,0.08,0.48,0.55,1.87,1.25,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.85,0.09,0.64,2.72,0.00,0.00,,,,,,,0.00,0.08,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Chteauguay Chteauguay,Surface Water,45.3814,-73.7562,2018,,,Unnamed_SPE_LCMS_MS,,,0.35,0.79,0.04,0.08,0.20,0.12,0.74,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.63,0.02,0.25,1.25,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Chaudire Lvis,Surface Water,46.714483,-71.280997,2018,,,Unnamed_SPE_LCMS_MS,,,0.45,1.13,0.00,0.10,0.36,0.07,1.21,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.18,0.02,0.26,1.93,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Loup Louiseville,Surface Water,48.39964,-71.0423,2018,,,Unnamed_SPE_LCMS_MS,,,0.22,0.35,0.00,0.03,0.32,0.03,0.66,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.54,0.00,0.10,1.05,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Mille-Iles Laval,Surface Water,45.5406,-73.8808,2018,,,Unnamed_SPE_LCMS_MS,,,0.59,0.49,0.00,0.00,0.17,0.25,0.75,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.72,0.03,0.21,1.41,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Prairies Montral,Surface Water,45.5343,-73.7266,2018,,,Unnamed_SPE_LCMS_MS,,,0.28,0.44,0.00,0.04,0.16,0.06,0.31,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,0.01,0.11,1.42,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Jacques-Cartier Donnacona,Surface Water,46.68146,-71.742,2018,,,Unnamed_SPE_LCMS_MS,,,0.24,0.21,0.00,0.00,0.11,0.07,0.13,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.11,0.02,0.05,0.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire LAssomption Repentigny,Surface Water,45.7553,-73.46352,2018,,,Unnamed_SPE_LCMS_MS,,,0.96,1.17,0.00,0.11,0.29,0.29,1.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.16,0.04,0.71,1.78,0.00,0.00,,,,,,,0.00,0.07,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Mascouche Terrebonne,Surface Water,45.6951,-73.5934,2018,,,Unnamed_SPE_LCMS_MS,,,2.26,2.14,0.09,0.05,0.35,2.39,5.46,6.18,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,7.24,0.28,1.04,3.49,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Maskinong Maskinong,Surface Water,46.22814,-73.01597,2018,,,Unnamed_SPE_LCMS_MS,,,0.18,0.40,0.03,0.04,0.24,0.03,0.68,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.22,0.00,0.08,0.81,0.00,0.00,,,,,,,0.00,0.06,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Nicolet Nicolet,Surface Water,46.2275,-72.62389,2018,,,Unnamed_SPE_LCMS_MS,,,0.55,1.24,0.05,0.04,0.17,0.19,1.99,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.16,0.04,0.39,2.04,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Richelieu Sorel-Tracy,Surface Water,46.019605,-73.132377,2018,,,Unnamed_SPE_LCMS_MS,,,0.94,1.29,0.36,0.06,0.32,0.54,1.20,1.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.09,0.06,0.48,1.67,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Charles Quebec,Surface Water,46.8199,-71.22,2018,,,Unnamed_SPE_LCMS_MS,,,0.30,0.46,0.00,0.00,0.07,0.12,0.74,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.95,0.02,0.21,1.06,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Sainte-Anne Sainte-Anne-de-la-Prade,Surface Water,46.571331,-72.206231,2018,,,Unnamed_SPE_LCMS_MS,,,0.12,0.24,0.00,0.04,0.10,0.00,0.16,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.15,0.00,0.04,0.75,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Franois Pierreville,Surface Water,46.06687,-72.81258,2018,,,Unnamed_SPE_LCMS_MS,,,0.82,1.75,0.05,0.12,0.29,0.20,2.14,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.06,0.04,0.97,1.36,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard,Surface Water,45.4321,-73.4842,2018,,,Unnamed_SPE_LCMS_MS,,,1.37,1.80,0.21,0.17,0.33,0.58,7.16,6.76,0.00,0.00,0.00,3.78,0.00,0.00,0.00,0.00,0.00,,7.06,0.06,0.63,4.09,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Maurice Trois-Rivires,Surface Water,46.3647,-72.5521,2018,,,Unnamed_SPE_LCMS_MS,,,0.15,0.41,0.00,0.05,0.18,0.02,0.27,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,0.00,0.05,3.09,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
