Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-1,Surface Water,33.2745137,-81.652831,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-2,Surface Water,33.2493309,-81.6954702,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,1.28,,0.23,0.63,,2.45,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.10,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FMB-3,Surface Water,33.2190445,-81.7080049,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,1.24,,0.17,0.58,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CC,Surface Water,33.2357821,-81.6807417,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,6.63,,0.32,1.41,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.18,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-2,Surface Water,33.2175791,-81.6405332,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IGB,Surface Water,33.2108279,-81.6747331,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,2.78,,0.50,0.70,,2.80,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.32,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LL-1,Surface Water,33.1650877,-81.6309098,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,2.80,,0.43,0.70,,2.45,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.13,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LL-2,Surface Water,33.1858034,-81.6356433,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,2.66,,0.38,0.66,,2.36,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.11,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP,Surface Water,33.2386457,-81.5217659,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.62,,0.09,0.22,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MB,Surface Water,33.1842545,-81.5815142,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
