Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Zhang_et_al_2016,Slack's Tributary,Surface Water,41.850,-71.550,6/19/2014,,Unnamed_SPE+LCMS/MS,0.77700,,2.363,0.405,0.39,0.864,2.191,2.409,,,,0.01500,,,4.55,,,0.669,,,,,,,,,0.607,,0.241,,,0.348,,0.618,,,,,,,,,,
Zhang_et_al_2016,Woonasquatucket River,Surface Water,41.820,-71.440,6/19/2014,,Unnamed_SPE+LCMS/MS,23.22600,,8.832,1.133,3.134,3.758,12.137,13.577,,,,15.29200,,,10.357,,,1.652,,,,,,,,,0.308,,0.147,,,0.278,,0.089,,,,,,,,,,
Zhang_et_al_2016,Woonasquatucket River (Greystone pond),Surface Water,41.870,-71.490,6/19/2014,,Unnamed_SPE+LCMS/MS,5.86800,,5.236,0.894,1.476,3.583,6.31,3.371,,,,0.05500,,,0,,,1.327,,,,,,,,,1.853,,0.61,,,0.937,,2.598,,,,,,,,,,
Zhang_et_al_2016,Pawtuxet River,Surface Water,41.770,-71.400,6/19/2014,,Unnamed_SPE+LCMS/MS,2.18500,,7.546,0.957,2.735,2.558,7.337,12.301,,,,0.38000,,,4.228,,,2.29,,,,,,,,,0.114,,0.227,,,0.152,,0.028,,,,,,,,,,
Zhang_et_al_2016,Brook at Mill Cove,Surface Water,41.710,-71.380,6/19/2014,,Unnamed_SPE+LCMS/MS,9.80400,,36.806,5.625,13.986,35.022,48.414,48.159,,,,0.23900,,,0,,,6.181,,,,,,,,,1.286,,0.113,,,0.24,,0.117,,,,,,,,,,
Zhang_et_al_2016,Buckeye Brook,Surface Water,41.700,-71.390,6/19/2014,,Unnamed_SPE+LCMS/MS,4.12700,,8.455,0.367,0.733,2.637,5.408,7.64,,,,0.02400,,,4.359,,,1.087,,,,,,,,,0.167,,0.09,,,0.694,,0.096,,,,,,,,,,
Zhang_et_al_2016,Southern Creek,Surface Water,41.700,-71.420,6/19/2014,,Unnamed_SPE+LCMS/MS,3.74300,,10.08,0.205,1.275,4.13,6.715,9.236,,,,0.03000,,,4.828,,,2.102,,,,,,,,,0.046,,0,,,0.122,,0,,,,,,,,,,
Zhang_et_al_2016,Mill Brook,Surface Water,41.700,-71.460,6/19/2014,,Unnamed_SPE+LCMS/MS,3.93700,,9.237,0.176,0.923,4.664,5.649,0,,,,0.00900,,,5.611,,,3.355,,,,,,,,,0.048,,0.023,,,0.053,,0.023,,,,,,,,,,
Zhang_et_al_2016,EG Town Dock,Surface Water,41.650,-71.450,6/19/2014,,Unnamed_SPE+LCMS/MS,0.73500,,1.972,0.127,0.336,0.695,1.562,1.597,,,,0.02600,,,0.927,,,0.296,,,,,,,,,0.097,,0.038,,,0.065,,0.061,,,,,,,,,,
Zhang_et_al_2016,Hunt River,Surface Water,41.640,-71.440,6/19/2014,,Unnamed_SPE+LCMS/MS,1.47700,,6.978,0.125,0.308,5.075,2.987,3.09,,,,0.00800,,,3.064,,,1.161,,,,,,,,,0,,0,,,0.036,,0,,,,,,,,,,
